u,v,weight
337,338,24
369,370,24
186,187,24
218,219,24
429,430,24
278,279,24
310,311,24
370,371,24
402,403,24
219,220,24
462,463,24
311,312,24
403,404,24
252,253,24
495,496,24
344,345,24
193,194,24
436,437,24
59,60,24
285,286,24
496,497,24
377,378,24
0,1,24
469,470,24
92,93,24
184,185,24
410,411,24
33,34,24
470,471,24
125,126,24
34,35,24
66,67,24
158,159,24
7,8,24
