simulated_k51_l1000_74,SEQ_2,MST_27,SEQ_1,SEQ_14,MST_30,simulated_k51_l1000_81,SEQ_13,SEQ_31,simulated_k51_l1000_88,MST_42,SEQ_28,simulated_k51_l1000_89,MST_8,simulated_k51_l1000_92,SEQ_24,MST_9,SEQ_42,simulated_k51_l1000_37,simulated_k51_l1000_61,simulated_k51_l1000_86,SEQ_48,simulated_k51_l1000_64,MST_25,simulated_k51_l1000_34,simulated_k51_l1000_22,SEQ_29,SEQ_6,MST_13,simulated_k51_l1000_87,simulated_k51_l1000_67,SEQ_37,MST_2,MST_48,SEQ_33,MST_26,simulated_k51_l1000_94,simulated_k51_l1000_32,SEQ_15,MST_6,SEQ_20,simulated_k51_l1000_93,SEQ_49,simulated_k51_l1000_70,simulated_k51_l1000_44,simulated_k51_l1000_48,SEQ_51,SEQ_7,SEQ_43,SEQ_21,simulated_k51_l1000_80,MST_17,MST_44,simulated_k51_l1000_69,MST_1,SEQ_30,simulated_k51_l1000_49,SEQ_8,MST_39,simulated_k51_l1000_30,simulated_k51_l1000_72,simulated_k51_l1000_42,simulated_k51_l1000_82,MST_22,MST_38,MST_10,SEQ_22,SEQ_44,MST_21,MST_32,SEQ_12,SEQ_35,SEQ_41,simulated_k51_l1000_24,SEQ_47,SEQ_5,simulated_k51_l1000_46,SEQ_32,simulated_k51_l1000_57,MST_52,SEQ_38,simulated_k51_l1000_100,SEQ_40,simulated_k51_l1000_90,MST_45,SEQ_4,SEQ_26,MST_11,simulated_k51_l1000_54,simulated_k51_l1000_52,SEQ_9,SEQ_34,MST_5,simulated_k51_l1000_51,simulated_k51_l1000_95,MST_12,simulated_k51_l1000_71,MST_24,simulated_k51_l1000_84,simulated_k51_l1000_58,MST_47,SEQ_18,simulated_k51_l1000_98,SEQ_25,MST_53,MST_18,simulated_k51_l1000_50,MST_20,MST_33,SEQ_11,SEQ_10,SEQ_50,simulated_k51_l1000_68,SEQ_36,MST_14,MST_28,simulated_k51_l1000_78,SEQ_17,simulated_k51_l1000_66,MST_40,MST_41,SEQ_19,MST_19,SEQ_39,simulated_k51_l1000_96,MST_23,simulated_k51_l1000_73,MST_36,MST_43,SEQ_27,SEQ_23,SEQ_16,MST_37,MST_49,SEQ_45,MST_15,MST_35,MST_4,MST_34,MST_46,SEQ_0,SEQ_46,SEQ_3,simulated_k51_l1000_91,simulated_k51_l1000_62,MST_50,MST_31,simulated_k51_l1000_76,MST_7,simulated_k51_l1000_38,simulated_k51_l1000_99,MST_29,MST_3,MST_16,simulated_k51_l1000_10,MST_51
,81.0,31.0,111.0,28.0,31.0,,28.0,20.0,47.0,20.0,31.0,1.0,44.0,45.0,31.0,39.0,20.0,,,0.0,20.0,,31.0,,,21.0,42.0,29.0,48.0,,20.0,76.0,20.0,20.0,31.0,22.0,,28.0,51.0,21.0,22.0,20.0,,,,102.0,35.0,20.0,22.0,,28.0,20.0,,19.0,20.0,,30.0,20.0,,,,,21.0,20.0,31.0,30.0,20.0,22.0,20.0,26.0,20.0,20.0,,20.0,42.0,,20.0,,86.0,20.0,11.0,20.0,1.0,20.0,45.0,31.0,29.0,,,30.0,20.0,70.0,,49.0,30.0,,27.0,,,20.0,22.0,11.0,31.0,91.0,30.0,,21.0,20.0,30.0,30.0,20.0,,20.0,27.0,31.0,,22.0,,20.0,20.0,21.0,24.0,20.0,49.0,21.0,,20.0,20.0,31.0,31.0,30.0,20.0,20.0,20.0,27.0,20.0,99.0,20.0,20.0,168.0,20.0,54.0,47.0,,20.0,26.0,,42.0,,11.0,31.0,142.0,28.0,,20.0
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,85.0,34.0,114.0,31.0,34.0,60.0,31.0,23.0,50.0,23.0,34.0,20.0,51.0,48.0,34.0,47.0,23.0,,,21.0,23.0,0.0,34.0,,,24.0,48.0,36.0,51.0,9.0,23.0,75.0,23.0,23.0,34.0,25.0,,31.0,60.0,24.0,25.0,23.0,20.0,,,101.0,42.0,23.0,25.0,20.0,31.0,23.0,23.0,22.0,23.0,,39.0,23.0,,55.0,,61.0,24.0,23.0,39.0,33.0,23.0,25.0,23.0,33.0,23.0,23.0,,23.0,50.0,,23.0,,86.0,23.0,18.0,23.0,20.0,23.0,56.0,34.0,38.0,,,39.0,23.0,72.0,,52.0,37.0,57.0,30.0,46.0,,23.0,25.0,18.0,34.0,91.0,33.0,,24.0,23.0,37.0,37.0,23.0,7.0,23.0,34.0,34.0,53.0,25.0,20.0,23.0,23.0,24.0,27.0,23.0,52.0,24.0,21.0,23.0,23.0,34.0,34.0,33.0,23.0,23.0,23.0,32.0,23.0,103.0,23.0,23.0,166.0,23.0,63.0,50.0,,23.0,29.0,56.0,53.0,,18.0,34.0,145.0,31.0,,23.0
,91.0,0.0,120.0,23.0,0.0,,23.0,11.0,,11.0,0.0,,,,0.0,,11.0,,,,11.0,,0.0,,,10.0,40.0,,,,11.0,,11.0,11.0,0.0,,,21.0,,12.0,,11.0,,,,108.0,35.0,11.0,9.0,,,11.0,,,11.0,,30.0,11.0,,,,,,11.0,,1.0,11.0,,11.0,25.0,11.0,11.0,,11.0,43.0,,11.0,,93.0,11.0,,11.0,,11.0,49.0,0.0,,,,30.0,11.0,,,,,,,,,11.0,13.0,,0.0,93.0,,,,11.0,28.0,27.0,11.0,,11.0,,0.0,,14.0,,11.0,11.0,12.0,,11.0,,,,11.0,11.0,0.0,0.0,21.0,11.0,11.0,11.0,,11.0,,11.0,11.0,179.0,11.0,58.0,,,11.0,4.0,,,,,0.0,,,,11.0
24.0,88.0,35.0,113.0,31.0,35.0,61.0,31.0,26.0,51.0,26.0,35.0,23.0,44.0,49.0,35.0,44.0,26.0,50.0,62.0,24.0,26.0,27.0,35.0,0.0,,25.0,45.0,35.0,52.0,28.0,26.0,81.0,26.0,26.0,35.0,14.0,,32.0,51.0,25.0,14.0,26.0,23.0,47.0,54.0,100.0,39.0,26.0,26.0,23.0,31.0,26.0,26.0,24.0,26.0,52.0,38.0,26.0,,56.0,25.0,62.0,25.0,26.0,38.0,34.0,26.0,26.0,26.0,33.0,26.0,26.0,,26.0,44.0,62.0,26.0,49.0,86.0,26.0,21.0,26.0,23.0,26.0,44.0,35.0,37.0,53.0,57.0,38.0,26.0,70.0,60.0,53.0,36.0,58.0,31.0,47.0,51.0,26.0,26.0,21.0,35.0,88.0,32.0,55.0,25.0,26.0,37.0,36.0,26.0,26.0,26.0,33.0,35.0,54.0,26.0,23.0,26.0,26.0,25.0,26.0,26.0,53.0,25.0,24.0,26.0,26.0,35.0,35.0,32.0,26.0,26.0,26.0,32.0,26.0,103.0,26.0,26.0,165.0,26.0,54.0,51.0,60.0,26.0,30.0,57.0,41.0,56.0,21.0,35.0,142.0,31.0,,26.0
47.0,88.0,18.0,117.0,24.0,18.0,44.0,24.0,27.0,12.0,27.0,18.0,46.0,38.0,34.0,18.0,37.0,27.0,17.0,31.0,47.0,27.0,50.0,18.0,51.0,0.0,26.0,36.0,28.0,15.0,51.0,27.0,75.0,27.0,27.0,18.0,51.0,50.0,22.0,51.0,28.0,51.0,27.0,46.0,32.0,15.0,102.0,36.0,27.0,27.0,46.0,22.0,27.0,49.0,28.0,27.0,39.0,31.0,27.0,55.0,23.0,48.0,47.0,28.0,27.0,32.0,19.0,27.0,27.0,27.0,26.0,27.0,27.0,21.0,27.0,39.0,49.0,27.0,12.0,83.0,27.0,44.0,27.0,46.0,27.0,45.0,18.0,30.0,14.0,44.0,31.0,27.0,71.0,45.0,20.0,28.0,25.0,22.0,30.0,12.0,27.0,27.0,44.0,18.0,88.0,22.0,40.0,27.0,27.0,29.0,28.0,27.0,49.0,27.0,26.0,18.0,21.0,26.0,46.0,27.0,27.0,28.0,27.0,27.0,20.0,28.0,47.0,27.0,27.0,18.0,18.0,22.0,27.0,27.0,27.0,25.0,27.0,106.0,27.0,27.0,167.0,27.0,54.0,34.0,29.0,27.0,22.0,42.0,42.0,23.0,44.0,18.0,140.0,24.0,,27.0
,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,0.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,,113.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
,,,,23.0,,,23.0,47.0,,,40.0,,,,40.0,,48.0,,,,48.0,,,,,46.0,0.0,,,,47.0,,,47.0,,,,22.0,,28.0,,48.0,,,,86.0,9.0,48.0,32.0,,,,,,47.0,,12.0,,,,,,,,,39.0,48.0,,,21.0,47.0,48.0,,48.0,,,47.0,,,47.0,,47.0,,,,40.0,,,,13.0,47.0,,,,,,,,,,27.0,,40.0,,,,,,17.0,13.0,48.0,,47.0,,,,27.0,,,,28.0,,47.0,,,,,,40.0,40.0,21.0,,,48.0,,,,,,,48.0,,,,,,,,,,,,,,
,67.0,27.0,98.0,7.0,27.0,,7.0,34.0,,35.0,27.0,,,,27.0,,35.0,,,,35.0,,27.0,,,33.0,15.0,0.0,,,34.0,,35.0,34.0,27.0,,,7.0,,15.0,,35.0,,,,93.0,9.0,35.0,18.0,,7.0,35.0,,,34.0,,5.0,34.0,,,,,15.0,34.0,,26.0,35.0,14.0,34.0,5.0,34.0,35.0,,35.0,15.0,,34.0,,79.0,34.0,,34.0,,35.0,23.0,27.0,,,,4.0,34.0,,,,,,22.0,,,35.0,14.0,,27.0,80.0,8.0,,14.0,34.0,1.0,2.0,35.0,,34.0,3.0,27.0,,14.0,,34.0,34.0,15.0,13.0,34.0,,15.0,,34.0,35.0,27.0,27.0,8.0,34.0,35.0,35.0,6.0,34.0,,34.0,35.0,157.0,35.0,33.0,,,35.0,29.0,,,,,27.0,,7.0,,35.0
,84.0,19.0,113.0,24.0,19.0,,24.0,28.0,3.0,28.0,19.0,47.0,37.0,33.0,19.0,36.0,28.0,,,,28.0,,19.0,,,27.0,35.0,28.0,0.0,,28.0,73.0,28.0,28.0,19.0,52.0,,24.0,50.0,29.0,52.0,28.0,,,,103.0,35.0,28.0,28.0,,24.0,28.0,,29.0,28.0,,30.0,28.0,,,,,29.0,28.0,31.0,20.0,28.0,28.0,28.0,26.0,28.0,28.0,,28.0,36.0,,28.0,,85.0,28.0,45.0,28.0,47.0,28.0,45.0,19.0,30.0,,,31.0,28.0,71.0,,21.0,30.0,,23.0,,,28.0,28.0,45.0,19.0,87.0,24.0,,28.0,28.0,29.0,30.0,28.0,,28.0,26.0,19.0,,28.0,,28.0,28.0,29.0,28.0,28.0,21.0,29.0,,28.0,28.0,19.0,19.0,24.0,28.0,28.0,28.0,25.0,28.0,102.0,28.0,28.0,168.0,28.0,54.0,33.0,,28.0,23.0,,41.0,,45.0,19.0,140.0,24.0,,28.0
22.0,86.0,35.0,112.0,32.0,35.0,61.0,32.0,24.0,51.0,24.0,35.0,21.0,52.0,49.0,35.0,48.0,24.0,,,22.0,24.0,,35.0,,,25.0,49.0,37.0,52.0,0.0,24.0,82.0,24.0,24.0,35.0,26.0,,32.0,61.0,25.0,26.0,24.0,21.0,,,101.0,43.0,24.0,26.0,21.0,32.0,24.0,24.0,23.0,24.0,,40.0,24.0,,56.0,,62.0,25.0,24.0,40.0,34.0,24.0,26.0,24.0,34.0,24.0,24.0,,24.0,51.0,,24.0,,85.0,24.0,19.0,24.0,21.0,24.0,57.0,35.0,39.0,,,40.0,24.0,73.0,,53.0,38.0,58.0,31.0,47.0,,24.0,26.0,19.0,35.0,91.0,34.0,,25.0,24.0,38.0,38.0,24.0,6.0,24.0,35.0,35.0,54.0,26.0,,24.0,24.0,25.0,28.0,24.0,53.0,25.0,22.0,24.0,24.0,35.0,35.0,34.0,24.0,24.0,24.0,33.0,24.0,103.0,24.0,24.0,166.0,24.0,64.0,51.0,,24.0,30.0,57.0,54.0,,19.0,35.0,139.0,32.0,,24.0
,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,114.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,
,84.0,75.0,103.0,77.0,75.0,,77.0,72.0,,73.0,75.0,,75.0,,75.0,77.0,73.0,,,,73.0,,75.0,,,71.0,73.0,73.0,,,72.0,0.0,73.0,72.0,75.0,,,77.0,83.0,76.0,,73.0,,,,66.0,74.0,73.0,74.0,,76.0,73.0,,,72.0,,74.0,72.0,,,,,76.0,72.0,75.0,74.0,73.0,77.0,72.0,77.0,72.0,73.0,,73.0,75.0,,72.0,,57.0,72.0,,72.0,,73.0,76.0,75.0,74.0,,,75.0,72.0,94.0,,,73.0,,77.0,,,73.0,77.0,,75.0,53.0,77.0,,77.0,72.0,75.0,73.0,73.0,,72.0,78.0,75.0,,78.0,,72.0,72.0,76.0,80.0,72.0,,76.0,,72.0,73.0,75.0,75.0,77.0,72.0,73.0,73.0,78.0,72.0,103.0,72.0,73.0,107.0,73.0,79.0,,,73.0,76.0,,79.0,,,75.0,138.0,77.0,,73.0
,97.0,,127.0,30.0,,,30.0,0.0,,,11.0,,,,11.0,,0.0,,,,0.0,,,,,1.0,48.0,,,,0.0,,0.0,0.0,,,,30.0,,23.0,,0.0,,,,115.0,43.0,0.0,20.0,,,,,,0.0,,38.0,,,,,,,,,12.0,0.0,,,32.0,0.0,0.0,,0.0,49.0,,0.0,,96.0,0.0,,0.0,,,55.0,11.0,,,,38.0,0.0,,,,,,,,,,24.0,,11.0,98.0,,,,,36.0,36.0,0.0,,0.0,,,,24.0,,,,23.0,,0.0,,,,,,11.0,11.0,32.0,,0.0,0.0,,,,,,185.0,0.0,64.0,,,0.0,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,114.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,
,91.0,0.0,120.0,23.0,0.0,,23.0,11.0,,11.0,0.0,,,,0.0,,11.0,,,,11.0,,,,,10.0,40.0,,,,11.0,,11.0,11.0,0.0,,,21.0,,12.0,,11.0,,,,108.0,35.0,11.0,9.0,,,11.0,,,11.0,,30.0,11.0,,,,,,11.0,,1.0,11.0,,11.0,25.0,11.0,11.0,,11.0,43.0,,11.0,,93.0,11.0,,11.0,,11.0,49.0,0.0,,,,30.0,11.0,,,,,,,,,11.0,13.0,,0.0,93.0,,,,11.0,28.0,27.0,11.0,,11.0,,0.0,,14.0,,11.0,11.0,12.0,,11.0,,,,11.0,11.0,0.0,0.0,21.0,11.0,11.0,11.0,,11.0,,11.0,11.0,179.0,11.0,58.0,,,11.0,4.0,,,,,0.0,,,,11.0
,88.0,35.0,108.0,30.0,35.0,,30.0,24.0,,24.0,35.0,,46.0,,35.0,44.0,24.0,,,,24.0,,35.0,,,25.0,46.0,35.0,,,24.0,84.0,24.0,24.0,35.0,0.0,,32.0,51.0,25.0,,24.0,,,,103.0,39.0,24.0,26.0,,30.0,24.0,,23.0,24.0,,38.0,24.0,,,,,25.0,24.0,38.0,34.0,24.0,26.0,24.0,32.0,24.0,24.0,,24.0,45.0,,24.0,,86.0,24.0,19.0,24.0,,24.0,44.0,35.0,37.0,,,38.0,24.0,70.0,,53.0,36.0,,31.0,,,24.0,26.0,19.0,35.0,88.0,32.0,,25.0,24.0,36.0,36.0,24.0,,24.0,33.0,35.0,,26.0,,24.0,24.0,25.0,26.0,24.0,53.0,25.0,,24.0,24.0,35.0,35.0,32.0,24.0,24.0,24.0,31.0,24.0,97.0,24.0,24.0,166.0,24.0,54.0,,,24.0,30.0,,41.0,,19.0,35.0,141.0,30.0,,24.0
23.0,88.0,34.0,118.0,31.0,34.0,60.0,31.0,23.0,50.0,23.0,34.0,22.0,47.0,48.0,34.0,45.0,23.0,49.0,61.0,23.0,23.0,26.0,34.0,15.0,,24.0,47.0,35.0,51.0,27.0,23.0,82.0,23.0,23.0,34.0,13.0,0.0,33.0,50.0,26.0,13.0,23.0,22.0,46.0,53.0,102.0,40.0,23.0,27.0,22.0,31.0,23.0,25.0,22.0,23.0,51.0,38.0,23.0,,55.0,22.0,61.0,26.0,23.0,38.0,33.0,23.0,27.0,23.0,33.0,23.0,23.0,,23.0,46.0,61.0,23.0,48.0,87.0,23.0,20.0,23.0,22.0,23.0,45.0,34.0,37.0,52.0,56.0,39.0,23.0,70.0,59.0,52.0,36.0,57.0,30.0,46.0,50.0,23.0,27.0,20.0,34.0,91.0,33.0,54.0,26.0,23.0,37.0,36.0,23.0,25.0,23.0,34.0,34.0,53.0,27.0,22.0,23.0,23.0,26.0,27.0,23.0,52.0,26.0,23.0,23.0,23.0,34.0,34.0,33.0,23.0,23.0,23.0,32.0,23.0,107.0,23.0,23.0,167.0,23.0,54.0,50.0,59.0,23.0,29.0,56.0,42.0,55.0,20.0,34.0,145.0,31.0,,23.0
,,,,,,,,30.0,,,21.0,,,,21.0,,30.0,,,,30.0,,,,,29.0,,,,,30.0,,,30.0,,,,0.0,,8.0,,30.0,,,,99.0,,30.0,12.0,,,,,,30.0,,,,,,,,,,,20.0,30.0,,,,30.0,30.0,,30.0,,,30.0,,,30.0,,30.0,,,,21.0,,,,,30.0,,,,,,,,,,7.0,,21.0,,,,,,,,30.0,,30.0,,,,8.0,,,,8.0,,30.0,,,,,,21.0,21.0,1.0,,,30.0,,,,,,,30.0,,,,,,,,,,,,,,
,40.0,54.0,71.0,38.0,54.0,,38.0,59.0,,60.0,54.0,,17.0,,54.0,21.0,60.0,,,,60.0,,54.0,,,58.0,17.0,29.0,,,59.0,,60.0,59.0,54.0,,,38.0,0.0,43.0,,60.0,,,,81.0,26.0,60.0,47.0,,38.0,60.0,,,59.0,,29.0,59.0,,,,,43.0,59.0,28.0,53.0,60.0,42.0,59.0,36.0,59.0,60.0,,60.0,18.0,,59.0,,69.0,59.0,,59.0,,60.0,8.0,54.0,30.0,,,30.0,59.0,,,,29.0,,49.0,,,60.0,42.0,,54.0,73.0,37.0,,41.0,59.0,31.0,29.0,60.0,,59.0,34.0,54.0,,42.0,,59.0,59.0,43.0,40.0,59.0,,43.0,,59.0,60.0,54.0,54.0,37.0,59.0,60.0,60.0,37.0,59.0,,59.0,60.0,130.0,60.0,10.0,,,60.0,55.0,,9.0,,,54.0,,38.0,,60.0
,,,,,,,,22.0,,,12.0,,,,12.0,,23.0,,,,23.0,,,,,21.0,,,,,22.0,,,22.0,,,,,,0.0,,23.0,,,,102.0,,23.0,3.0,,,,,,22.0,,,,,,,,,,,11.0,23.0,,,,22.0,23.0,,23.0,,,22.0,,,22.0,,22.0,,,,12.0,,,,,22.0,,,,,,,,,,,,12.0,,,,,,,,23.0,,22.0,,,,,,,,,,22.0,,,,,,12.0,12.0,,,,23.0,,,,,,,23.0,,,,,,,,,,,,,,
,88.0,35.0,108.0,30.0,35.0,,30.0,24.0,,24.0,35.0,,46.0,,35.0,44.0,24.0,,,,24.0,,35.0,,,25.0,46.0,35.0,,,24.0,84.0,24.0,24.0,35.0,2.0,,32.0,51.0,25.0,0.0,24.0,,,,102.0,39.0,24.0,26.0,,30.0,24.0,,23.0,24.0,,38.0,24.0,,,,,25.0,24.0,38.0,34.0,24.0,26.0,24.0,32.0,24.0,24.0,,24.0,45.0,,24.0,,87.0,24.0,19.0,24.0,,24.0,44.0,35.0,37.0,,,38.0,24.0,70.0,,53.0,36.0,,31.0,,,24.0,26.0,19.0,35.0,89.0,32.0,,25.0,24.0,36.0,36.0,24.0,,24.0,33.0,35.0,,26.0,,24.0,24.0,25.0,26.0,24.0,53.0,25.0,,24.0,24.0,35.0,35.0,32.0,24.0,24.0,24.0,31.0,24.0,97.0,24.0,24.0,166.0,24.0,54.0,,,24.0,30.0,,41.0,,19.0,35.0,141.0,30.0,,24.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,86.0,30.0,114.0,27.0,30.0,56.0,27.0,19.0,46.0,19.0,30.0,6.0,43.0,44.0,30.0,38.0,19.0,,,7.0,19.0,,30.0,,,20.0,41.0,28.0,47.0,,19.0,75.0,19.0,19.0,30.0,21.0,,27.0,50.0,20.0,21.0,19.0,0.0,,,103.0,34.0,19.0,21.0,12.0,27.0,19.0,,18.0,19.0,,29.0,19.0,,51.0,,57.0,20.0,19.0,30.0,29.0,19.0,21.0,19.0,25.0,19.0,19.0,,19.0,41.0,,19.0,,87.0,19.0,10.0,19.0,6.0,19.0,44.0,30.0,28.0,,,29.0,19.0,69.0,,48.0,29.0,53.0,26.0,42.0,,19.0,21.0,10.0,30.0,91.0,29.0,,20.0,19.0,29.0,29.0,19.0,,19.0,26.0,30.0,49.0,21.0,,19.0,19.0,20.0,23.0,19.0,48.0,20.0,13.0,19.0,19.0,30.0,30.0,29.0,19.0,19.0,19.0,26.0,19.0,102.0,19.0,19.0,169.0,19.0,53.0,46.0,,19.0,25.0,52.0,41.0,,10.0,30.0,147.0,27.0,,19.0
43.0,83.0,18.0,113.0,31.0,18.0,34.0,31.0,23.0,32.0,23.0,18.0,42.0,48.0,8.0,18.0,43.0,23.0,,43.0,43.0,23.0,46.0,18.0,,,22.0,46.0,32.0,33.0,47.0,23.0,76.0,23.0,23.0,18.0,47.0,,33.0,53.0,28.0,47.0,23.0,42.0,0.0,35.0,101.0,41.0,23.0,27.0,42.0,32.0,23.0,45.0,24.0,23.0,27.0,36.0,23.0,,37.0,,35.0,28.0,23.0,37.0,19.0,23.0,29.0,23.0,33.0,23.0,23.0,,23.0,48.0,37.0,23.0,30.0,81.0,23.0,40.0,23.0,42.0,23.0,52.0,18.0,35.0,36.0,32.0,35.0,23.0,67.0,33.0,34.0,32.0,39.0,22.0,4.0,32.0,23.0,29.0,40.0,18.0,89.0,35.0,30.0,29.0,23.0,31.0,32.0,23.0,45.0,23.0,33.0,18.0,35.0,30.0,42.0,23.0,23.0,28.0,30.0,23.0,34.0,28.0,43.0,23.0,23.0,18.0,18.0,35.0,23.0,23.0,23.0,32.0,23.0,101.0,23.0,23.0,168.0,23.0,51.0,8.0,41.0,23.0,19.0,30.0,50.0,,40.0,18.0,142.0,31.0,,23.0
50.0,82.0,19.0,111.0,26.0,19.0,47.0,26.0,30.0,11.0,30.0,19.0,49.0,37.0,35.0,19.0,36.0,30.0,,32.0,50.0,30.0,53.0,19.0,,,29.0,35.0,30.0,14.0,54.0,30.0,74.0,30.0,30.0,19.0,54.0,,24.0,47.0,29.0,54.0,30.0,49.0,,0.0,101.0,35.0,30.0,28.0,49.0,24.0,30.0,52.0,31.0,30.0,40.0,30.0,30.0,,24.0,,48.0,29.0,30.0,31.0,20.0,30.0,28.0,30.0,28.0,30.0,30.0,,30.0,38.0,,30.0,7.0,84.0,30.0,47.0,30.0,49.0,30.0,46.0,19.0,30.0,11.0,43.0,31.0,30.0,65.0,44.0,21.0,30.0,26.0,23.0,31.0,7.0,30.0,28.0,47.0,19.0,83.0,24.0,43.0,28.0,30.0,31.0,30.0,30.0,52.0,30.0,28.0,19.0,22.0,29.0,49.0,30.0,30.0,29.0,29.0,30.0,21.0,29.0,50.0,30.0,30.0,19.0,19.0,24.0,30.0,30.0,30.0,27.0,30.0,100.0,30.0,30.0,165.0,30.0,48.0,35.0,30.0,30.0,23.0,43.0,42.0,,47.0,19.0,141.0,26.0,,30.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.0,,,17.0,42.0,,,35.0,,,,35.0,,43.0,,,,43.0,,,,,41.0,,,,,42.0,,,42.0,,,,16.0,,22.0,,43.0,,,,93.0,0.0,43.0,26.0,,,,,,42.0,,5.0,,,,,,,,,34.0,43.0,,,15.0,42.0,43.0,,43.0,,,42.0,,,42.0,,42.0,,,,35.0,,,,6.0,42.0,,,,,,,,,,21.0,,35.0,,,,,,11.0,7.0,43.0,,42.0,,,,22.0,,,,22.0,,42.0,,,,,,35.0,35.0,15.0,,,43.0,,,,,,,43.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,115.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,
,,,,,,,,20.0,,,9.0,,,,9.0,,20.0,,,,20.0,,,,,19.0,,,,,20.0,,,20.0,,,,,,,,20.0,,,,103.0,,20.0,0.0,,,,,,20.0,,,,,,,,,,,8.0,20.0,,,,20.0,20.0,,20.0,,,20.0,,,20.0,,20.0,,,,9.0,,,,,20.0,,,,,,,,,,,,9.0,,,,,,,,20.0,,20.0,,,,,,,,,,20.0,,,,,,9.0,9.0,,,,20.0,,,,,,,20.0,,,,,,,,,,,,,,
,85.0,30.0,113.0,27.0,30.0,56.0,27.0,19.0,46.0,19.0,30.0,12.0,38.0,44.0,30.0,36.0,19.0,,,13.0,19.0,,30.0,,,20.0,36.0,28.0,47.0,,19.0,74.0,19.0,19.0,30.0,21.0,,27.0,49.0,20.0,21.0,19.0,,,,102.0,34.0,19.0,21.0,0.0,27.0,19.0,,18.0,19.0,,31.0,19.0,,,,57.0,20.0,19.0,32.0,29.0,19.0,21.0,19.0,25.0,19.0,19.0,,19.0,37.0,,19.0,,88.0,19.0,4.0,19.0,12.0,19.0,43.0,30.0,30.0,,,31.0,19.0,67.0,,48.0,29.0,,26.0,42.0,,19.0,21.0,4.0,30.0,90.0,29.0,,20.0,19.0,29.0,29.0,19.0,,19.0,26.0,30.0,,21.0,,19.0,19.0,20.0,23.0,19.0,48.0,20.0,,19.0,19.0,30.0,30.0,29.0,19.0,19.0,19.0,26.0,19.0,103.0,19.0,19.0,170.0,19.0,51.0,46.0,,19.0,25.0,,40.0,,4.0,30.0,143.0,27.0,,19.0
