simulated_k51_l1000_74,SEQ_2,MST_27,SEQ_1,SEQ_14,MST_30,simulated_k51_l1000_81,SEQ_13,SEQ_31,simulated_k51_l1000_88,MST_42,SEQ_28,simulated_k51_l1000_89,MST_8,simulated_k51_l1000_92,SEQ_24,MST_9,SEQ_42,simulated_k51_l1000_37,simulated_k51_l1000_61,simulated_k51_l1000_86,SEQ_48,simulated_k51_l1000_64,MST_25,simulated_k51_l1000_34,simulated_k51_l1000_22,SEQ_29,SEQ_6,MST_13,simulated_k51_l1000_87,simulated_k51_l1000_67,SEQ_37,MST_2,MST_48,SEQ_33,MST_26,simulated_k51_l1000_94,simulated_k51_l1000_32,SEQ_15,MST_6,SEQ_20,simulated_k51_l1000_93,SEQ_49,simulated_k51_l1000_70,simulated_k51_l1000_44,simulated_k51_l1000_48,SEQ_51,SEQ_7,SEQ_43,SEQ_21,simulated_k51_l1000_80,MST_17,MST_44,simulated_k51_l1000_69,MST_1,SEQ_30,simulated_k51_l1000_49,SEQ_8,MST_39,simulated_k51_l1000_30,simulated_k51_l1000_72,simulated_k51_l1000_42,simulated_k51_l1000_82,MST_22,MST_38,MST_10,SEQ_22,SEQ_44,MST_21,MST_32,SEQ_12,SEQ_35,SEQ_41,simulated_k51_l1000_24,SEQ_47,SEQ_5,simulated_k51_l1000_46,SEQ_32,simulated_k51_l1000_57,MST_52,SEQ_38,simulated_k51_l1000_100,SEQ_40,simulated_k51_l1000_90,MST_45,SEQ_4,SEQ_26,MST_11,simulated_k51_l1000_54,simulated_k51_l1000_52,SEQ_9,SEQ_34,MST_5,simulated_k51_l1000_51,simulated_k51_l1000_95,MST_12,simulated_k51_l1000_71,MST_24,simulated_k51_l1000_84,simulated_k51_l1000_58,MST_47,SEQ_18,simulated_k51_l1000_98,SEQ_25,MST_53,MST_18,simulated_k51_l1000_50,MST_20,MST_33,SEQ_11,SEQ_10,SEQ_50,simulated_k51_l1000_68,SEQ_36,MST_14,MST_28,simulated_k51_l1000_78,SEQ_17,simulated_k51_l1000_66,MST_40,MST_41,SEQ_19,MST_19,SEQ_39,simulated_k51_l1000_96,MST_23,simulated_k51_l1000_73,MST_36,MST_43,SEQ_27,SEQ_23,SEQ_16,MST_37,MST_49,SEQ_45,MST_15,MST_35,MST_4,MST_34,MST_46,SEQ_0,SEQ_46,SEQ_3,simulated_k51_l1000_91,simulated_k51_l1000_62,MST_50,MST_31,simulated_k51_l1000_76,MST_7,simulated_k51_l1000_38,simulated_k51_l1000_99,MST_29,MST_3,MST_16,simulated_k51_l1000_10,MST_51
,97.0,,127.0,30.0,,,30.0,0.0,,0.0,11.0,,,,11.0,,0.0,,,,0.0,,,,,1.0,48.0,,,,0.0,,0.0,0.0,,,,30.0,,23.0,,0.0,,,,115.0,43.0,0.0,20.0,,,0.0,,,0.0,,38.0,,,,,,,,,12.0,0.0,,,32.0,0.0,0.0,,0.0,49.0,,0.0,,96.0,0.0,,0.0,,0.0,55.0,11.0,,,,38.0,0.0,,,,,,,,,0.0,24.0,,11.0,98.0,,,,,36.0,36.0,0.0,,0.0,,,,24.0,,,,23.0,,0.0,,,,,0.0,11.0,11.0,32.0,,0.0,0.0,,,,,0.0,185.0,0.0,64.0,,,0.0,,,,,,,,,,0.0
,,,,,,,,11.0,,,0.0,,,,,,11.0,,,,11.0,,,,,10.0,,,,,11.0,,,11.0,,,,,,,,11.0,,,,108.0,,11.0,,,,,,,11.0,,,,,,,,,,,,11.0,,,,11.0,11.0,,11.0,,,11.0,,,11.0,,11.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,11.0,,11.0,,,,,,,,,,11.0,,,,,,,,,,,11.0,,,,,,,11.0,,,,,,,,,,,,,,
,80.0,30.0,110.0,27.0,30.0,,27.0,19.0,,19.0,30.0,0.0,43.0,44.0,30.0,38.0,19.0,,,,19.0,,30.0,,,20.0,41.0,28.0,,,19.0,75.0,19.0,19.0,30.0,21.0,,27.0,50.0,20.0,21.0,19.0,,,,102.0,34.0,19.0,21.0,,27.0,19.0,,18.0,19.0,,29.0,19.0,,,,,20.0,19.0,30.0,29.0,19.0,21.0,19.0,25.0,19.0,19.0,,19.0,41.0,,19.0,,86.0,19.0,10.0,19.0,0.0,19.0,44.0,30.0,28.0,,,29.0,19.0,69.0,,48.0,29.0,,26.0,,,19.0,21.0,10.0,30.0,91.0,29.0,,20.0,19.0,29.0,29.0,19.0,,19.0,26.0,30.0,,21.0,,19.0,19.0,20.0,23.0,19.0,48.0,20.0,,19.0,19.0,30.0,30.0,29.0,19.0,19.0,19.0,26.0,19.0,98.0,19.0,19.0,169.0,19.0,53.0,46.0,,19.0,25.0,,41.0,,10.0,30.0,143.0,27.0,,19.0
,56.0,42.0,87.0,25.0,42.0,,25.0,49.0,,50.0,42.0,,0.0,,42.0,5.0,50.0,,,,50.0,,42.0,,,48.0,3.0,17.0,,,49.0,,50.0,49.0,42.0,,,24.0,,30.0,,50.0,,,,85.0,11.0,50.0,34.0,,24.0,50.0,,,49.0,,14.0,49.0,,,,,30.0,49.0,13.0,41.0,50.0,29.0,49.0,23.0,49.0,50.0,,50.0,0.0,,49.0,,73.0,49.0,,49.0,,50.0,9.0,42.0,15.0,,,15.0,49.0,,,,15.0,,37.0,,,50.0,29.0,,42.0,75.0,23.0,,29.0,49.0,19.0,15.0,50.0,,49.0,22.0,42.0,,30.0,,49.0,49.0,30.0,28.0,49.0,,30.0,,49.0,50.0,42.0,42.0,23.0,49.0,50.0,50.0,24.0,49.0,,49.0,50.0,146.0,50.0,23.0,,,50.0,43.0,,,,,42.0,,25.0,,50.0
,83.0,18.0,108.0,31.0,18.0,,31.0,25.0,,25.0,18.0,,48.0,0.0,18.0,43.0,25.0,,,,25.0,,18.0,,,24.0,46.0,32.0,,,25.0,76.0,25.0,25.0,18.0,49.0,,33.0,54.0,28.0,49.0,25.0,,,,103.0,41.0,25.0,27.0,,32.0,25.0,,26.0,25.0,,36.0,25.0,,,,,28.0,25.0,37.0,19.0,25.0,29.0,25.0,33.0,25.0,25.0,,25.0,48.0,,25.0,,85.0,25.0,42.0,25.0,,25.0,52.0,18.0,35.0,,,36.0,25.0,65.0,,34.0,33.0,,22.0,,,25.0,29.0,42.0,18.0,87.0,35.0,,29.0,25.0,31.0,33.0,25.0,,25.0,33.0,18.0,,30.0,,25.0,25.0,28.0,30.0,25.0,34.0,28.0,,25.0,25.0,18.0,18.0,35.0,25.0,25.0,25.0,32.0,25.0,101.0,25.0,25.0,167.0,25.0,51.0,,,25.0,21.0,,49.0,,42.0,18.0,139.0,31.0,,25.0
,,,,,,,,11.0,,,0.0,,,,0.0,,11.0,,,,11.0,,,,,10.0,,,,,11.0,,,11.0,,,,,,,,11.0,,,,108.0,,11.0,,,,,,,11.0,,,,,,,,,,,,11.0,,,,11.0,11.0,,11.0,,,11.0,,,11.0,,11.0,,,,0.0,,,,,11.0,,,,,,,,,,,,0.0,,,,,,,,11.0,,11.0,,,,,,,,,,11.0,,,,,,0.0,,,,,11.0,,,,,,,11.0,,,,,,,,,,,,,,
,59.0,37.0,91.0,20.0,37.0,,20.0,45.0,,46.0,37.0,,,,37.0,0.0,46.0,,,,46.0,,37.0,,,44.0,4.0,11.0,,,45.0,,46.0,45.0,37.0,,,19.0,,25.0,,46.0,,,,88.0,5.0,46.0,29.0,,19.0,46.0,,,45.0,,8.0,45.0,,,,,25.0,45.0,7.0,36.0,46.0,24.0,45.0,18.0,45.0,46.0,,46.0,5.0,,45.0,,73.0,45.0,,45.0,,46.0,14.0,37.0,9.0,,,9.0,45.0,,,,9.0,,33.0,,,46.0,24.0,,37.0,78.0,18.0,,24.0,45.0,14.0,9.0,46.0,,45.0,17.0,37.0,,25.0,,45.0,45.0,25.0,23.0,45.0,,25.0,,45.0,46.0,37.0,37.0,18.0,45.0,46.0,46.0,19.0,45.0,,45.0,46.0,151.0,46.0,27.0,,,46.0,39.0,,,,,37.0,,20.0,,46.0
,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,115.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,
46.0,84.0,15.0,113.0,22.0,15.0,43.0,22.0,26.0,15.0,26.0,15.0,45.0,35.0,31.0,15.0,30.0,26.0,0.0,28.0,46.0,26.0,49.0,15.0,,,25.0,33.0,26.0,18.0,50.0,26.0,80.0,26.0,26.0,15.0,50.0,,20.0,48.0,25.0,50.0,26.0,45.0,31.0,18.0,104.0,34.0,26.0,24.0,45.0,20.0,26.0,48.0,27.0,26.0,36.0,29.0,26.0,,14.0,47.0,44.0,25.0,26.0,30.0,16.0,26.0,24.0,26.0,24.0,26.0,26.0,,26.0,36.0,44.0,26.0,15.0,84.0,26.0,43.0,26.0,45.0,26.0,43.0,15.0,28.0,19.0,39.0,29.0,26.0,67.0,40.0,11.0,26.0,16.0,19.0,27.0,15.0,26.0,24.0,43.0,15.0,87.0,20.0,39.0,24.0,26.0,27.0,26.0,26.0,48.0,26.0,24.0,15.0,12.0,25.0,45.0,26.0,26.0,25.0,25.0,26.0,11.0,25.0,46.0,26.0,26.0,15.0,15.0,20.0,26.0,26.0,26.0,23.0,26.0,102.0,26.0,26.0,167.0,26.0,50.0,31.0,26.0,26.0,19.0,39.0,39.0,14.0,43.0,15.0,139.0,22.0,,26.0
58.0,91.0,29.0,109.0,34.0,29.0,57.0,34.0,38.0,29.0,38.0,29.0,57.0,51.0,43.0,29.0,48.0,38.0,,0.0,58.0,38.0,61.0,29.0,,,37.0,51.0,39.0,32.0,62.0,38.0,84.0,38.0,38.0,29.0,62.0,,34.0,64.0,39.0,62.0,38.0,57.0,,,99.0,45.0,38.0,38.0,57.0,34.0,38.0,60.0,39.0,38.0,,40.0,38.0,,34.0,,58.0,39.0,38.0,41.0,30.0,38.0,38.0,38.0,36.0,38.0,38.0,,38.0,52.0,,38.0,,82.0,38.0,55.0,38.0,57.0,38.0,58.0,29.0,39.0,,,40.0,38.0,76.0,,31.0,39.0,36.0,33.0,41.0,,38.0,38.0,55.0,29.0,83.0,34.0,,38.0,38.0,40.0,39.0,38.0,60.0,38.0,37.0,29.0,32.0,39.0,57.0,38.0,38.0,39.0,39.0,38.0,31.0,39.0,58.0,38.0,38.0,29.0,29.0,34.0,38.0,38.0,38.0,35.0,38.0,101.0,38.0,38.0,159.0,38.0,65.0,45.0,14.0,38.0,31.0,53.0,54.0,,55.0,29.0,137.0,34.0,,38.0
