u,v,weight
1,378,4
463,464,50
257,258,50
14,15,50
170,171,50
0,181,2
84,189,1
189,269,2
134,135,50
360,361,50
144,145,50
264,265,50
259,260,50
236,237,50
232,233,50
81,82,50
136,137,50
416,417,50
233,234,50
210,211,50
325,326,50
109,110,50
417,418,50
55,56,50
449,450,50
82,83,50
142,143,50
390,391,50
354,355,50
235,236,50
24,25,50
116,117,50
359,360,50
127,309,1
167,168,50
111,267,2
461,462,50
300,301,50
355,356,50
237,238,50
485,486,50
178,179,50
97,224,1
389,390,50
238,239,50
486,487,50
335,336,50
248,249,50
418,419,50
1,2,50
93,94,50
281,282,50
120,121,50
336,337,50
290,388,1
245,246,50
433,434,50
186,187,50
62,63,50
94,95,50
246,247,50
348,349,50
242,243,50
68,69,50
224,225,50
63,64,50
160,161,50
491,492,50
220,221,50
165,166,50
69,70,50
404,405,50
37,38,50
92,93,50
464,465,50
345,346,50
139,140,50
470,471,50
406,407,50
320,321,49
412,413,49
0,371,2
137,138,49
247,248,49
192,193,49
229,230,49
74,75,49
221,222,49
166,167,49
231,232,49
258,259,49
38,39,49
75,76,49
411,412,49
112,207,1
443,444,49
108,109,49
228,229,49
439,440,49
11,112,2
298,299,49
123,401,2
413,414,49
143,144,49
138,139,49
208,289,1
391,392,49
230,231,49
423,424,49
322,323,49
387,388,49
181,182,49
20,21,49
414,415,49
263,264,49
365,366,49
214,215,49
25,26,49
388,389,49
398,399,49
31,32,49
490,491,49
339,340,49
330,331,49
307,308,49
146,147,49
211,212,49
422,423,49
60,61,49
271,272,49
395,396,49
212,213,49
354,425,8
189,190,49
28,29,49
148,149,49
492,493,49
396,397,49
277,278,49
61,62,49
217,218,49
374,375,49
79,189,1
278,279,49
117,118,49
402,403,49
397,398,49
35,36,49
462,463,49
366,367,49
95,96,49
127,128,49
91,92,49
477,481,4
223,224,49
128,129,49
32,33,49
436,437,49
308,309,49
33,34,49
309,310,49
135,136,49
401,402,49
130,131,49
498,499,49
438,439,49
287,288,49
342,343,49
108,155,1
168,169,49
489,490,48
434,435,48
67,68,48
315,316,48
99,100,48
375,376,48
159,160,48
256,257,48
196,197,48
343,344,48
197,198,48
41,42,48
284,285,48
133,134,48
262,263,48
15,16,48
474,475,48
203,204,48
107,108,48
195,196,48
448,449,48
16,17,48
347,348,48
265,266,48
206,207,48
90,133,9
266,267,48
358,359,48
207,208,48
450,451,48
234,235,48
331,332,48
175,176,48
446,447,48
79,80,48
56,57,48
267,268,48
208,209,48
149,150,48
53,54,48
296,297,48
306,307,48
333,334,48
302,303,48
86,87,48
297,298,48
329,330,48
421,422,48
54,55,48
426,427,48
174,175,48
98,152,4
97,498,1
97,272,1
340,341,48
180,181,48
451,452,48
428,429,48
121,122,48
176,177,48
314,315,48
153,154,48
20,283,4
2,3,48
429,430,48
213,214,48
1,141,5
344,345,48
371,372,48
381,382,48
432,433,48
161,162,48
188,210,1
276,277,48
469,470,48
373,374,48
184,185,48
465,466,48
405,406,48
317,421,2
190,191,48
39,40,48
58,111,2
444,445,47
40,41,47
100,101,47
156,252,3
376,377,47
476,482,3
409,410,47
47,48,47
357,358,47
147,148,47
