gene_size,replicate,genomes_gt,k_min,k_base
25,1,15,20,6
25,2,16,16,1
25,3,38,43,5
25,4,57,57,1
25,5,9,12,4
50,1,66,86,6
50,2,33,40,8
50,3,63,63,1
50,4,37,48,5
50,5,27,33,5
75,1,37,47,6
75,2,10,10,1
75,3,5,7,4
75,4,43,59,9
75,5,47,59,11
100,1,45,45,1
100,2,40,58,5
100,3,3,4,2
100,4,57,81,8
100,5,41,41,1
125,1,30,41,8
125,2,63,90,9
125,3,51,64,10
125,4,12,12,1
125,5,33,33,1
150,1,36,51,10
150,2,15,15,1
150,3,19,19,1
150,4,4,5,4
150,5,4,4,1
175,1,31,43,6
175,2,68,99,14
175,3,25,36,5
175,4,6,6,1
175,5,17,23,4
200,1,27,27,1
200,2,69,69,1
200,3,67,93,7
200,4,17,25,8
200,5,66,66,1
225,1,64,64,1
225,2,59,81,9
225,3,13,13,1
225,4,43,61,8
225,5,10,12,2
250,1,7,7,1
250,2,35,35,1
250,3,50,50,1
250,4,60,84,8
250,5,38,38,1
275,1,53,75,9
275,2,8,12,4
275,3,37,54,7
275,4,15,21,5
275,5,18,26,6
300,1,22,32,7
300,2,70,103,8
300,3,33,33,1
300,4,25,34,8
300,5,44,64,7
325,1,24,35,8
325,2,14,14,1
325,3,27,27,1
325,4,23,23,1
325,5,17,24,6
350,1,57,81,10
350,2,62,86,12
350,3,69,88,5
350,4,7,10,2
350,5,14,20,4
375,1,5,5,1
375,2,17,25,8
375,3,8,11,2
375,4,65,65,1
375,5,46,67,10
400,1,24,35,5
400,2,65,65,1
400,3,52,52,1
400,4,30,30,1
400,5,29,43,7
425,1,29,43,6
425,2,41,41,1
425,3,57,57,1
425,4,55,73,7
425,5,10,13,4
450,1,48,68,11
450,2,64,64,1
450,3,70,70,1
450,4,58,83,9
450,5,46,67,10
475,1,24,32,7
475,2,18,26,6
475,3,52,69,6
475,4,7,10,3
475,5,30,43,8
500,1,67,76,7
500,2,60,87,9
500,3,41,41,1
500,4,59,84,11
500,5,21,28,6
525,1,69,96,7
525,2,49,49,1
525,3,28,40,7
525,4,40,47,6
525,5,10,13,3
550,1,59,81,8
550,2,64,64,1
550,3,47,47,1
550,4,51,74,8
550,5,39,56,8
575,1,65,95,14
575,2,24,24,1
575,3,4,4,1
575,4,61,87,12
575,5,52,73,7
600,1,65,93,8
600,2,5,7,3
600,3,16,21,5
600,4,25,25,1
600,5,57,57,1
625,1,4,5,3
625,2,58,84,13
625,3,56,82,7
625,4,10,13,3
625,5,59,77,10
650,1,51,72,10
650,2,3,3,1
650,3,60,87,11
650,4,36,54,8
650,5,36,51,7
675,1,57,82,11
675,2,52,73,9
675,3,3,3,1
675,4,17,17,1
675,5,56,81,8
700,1,7,10,4
700,2,20,29,8
700,3,42,59,9
700,4,61,61,1
700,5,54,54,1
725,1,65,96,13
725,2,35,49,6
725,3,30,41,4
725,4,2,3,3
725,5,58,58,1
750,1,27,35,6
750,2,47,47,1
750,3,25,36,5
750,4,54,77,11
750,5,36,51,8
775,1,2,2,1
775,2,41,55,8
775,3,6,6,1
775,4,28,40,7
775,5,14,14,1
800,1,45,65,9
800,2,36,47,4
800,3,2,2,1
800,4,33,33,1
800,5,8,8,1
825,1,59,80,5
825,2,27,36,6
825,3,35,52,6
825,4,67,97,14
825,5,55,70,8
850,1,27,34,4
850,2,32,42,5
850,3,20,28,5
850,4,59,87,7
850,5,19,22,3
875,1,50,73,11
875,2,27,27,1
875,3,66,88,6
875,4,36,52,8
875,5,18,18,1
900,1,19,28,4
900,2,11,16,4
900,3,9,13,3
900,4,6,6,1
900,5,70,101,11
925,1,52,52,1
925,2,10,10,1
925,3,49,49,1
925,4,27,39,9
925,5,33,47,7
950,1,56,56,1
950,2,4,4,1
950,3,3,4,2
950,4,9,12,3
950,5,28,40,8
975,1,28,28,1
975,2,51,76,11
975,3,9,9,1
975,4,6,6,1
975,5,54,73,7
1000,1,61,77,6
1000,2,41,41,1
1000,3,51,74,11
1000,4,19,28,7
1000,5,45,65,9
