gene size,replicate,genomes gt,genomes inf,runtime_phases_1-3,runtime_phase_4,total_runtime,alpha,gamma
50,1,4,64,0.037787291999848094,5.100009730085731e-07,0.0377878020008211,0.25,1.0
50,1,29,104,0.1776148999997531,4.57002897746861e-07,0.17761535700265085,0.5,1.0
50,1,8,103,0.09199149999767542,3.5600533010438085e-07,0.09199185600300552,1.0,1.0
50,1,40,106,0.1768855140035157,1.71996362041682e-07,0.17688568599987775,1.0,0.5
50,1,38,107,0.17111588399711763,1.9700382836163044e-07,0.171116081000946,1.0,0.25
50,2,5,86,0.06094106099772034,3.62000719178468e-07,0.06094142299843952,0.25,1.0
50,2,32,104,0.16876257400144823,3.6400160752236843e-07,0.16876293800305575,0.5,1.0
50,2,20,21,0.019879948995367158,3.3700052881613374e-07,0.019880285995895974,1.0,1.0
50,2,43,49,0.0937054430032731,1.629960024729371e-07,0.09370560599927558,1.0,0.5
50,2,54,107,0.2651233400029014,2.4699693312868476e-07,0.2651235869998345,1.0,0.25
50,3,49,16,0.028746780997607857,3.5600533010438085e-07,0.02874713700293796,0.25,1.0
50,3,50,105,0.24838033299602102,3.800014383159578e-07,0.24838071299745934,0.5,1.0
50,3,63,109,0.24289830199995777,3.4699769457802176e-07,0.24289864899765234,1.0,1.0
50,3,27,16,0.015303913998650387,2.1500454749912024e-07,0.015304129003197886,1.0,0.5
50,3,42,31,0.050554280998767354,3.539971658028662e-07,0.050554634995933156,1.0,0.25
50,4,39,107,0.23184275599487592,3.8700090954080224e-07,0.23184314299578546,0.25,1.0
50,4,37,41,0.06691017200500937,1.8200080376118422e-07,0.06691035400581313,0.5,1.0
50,4,11,103,0.09211944699927699,3.7399877328425646e-07,0.09211982099805027,1.0,1.0
50,4,50,20,0.04955964200053131,3.5999983083456755e-07,0.04956000200036215,1.0,0.5
50,4,46,103,0.24337404999823775,3.7900463212281466e-07,0.24337442900286987,1.0,0.25
50,5,26,104,0.1643346249984461,3.7399877328425646e-07,0.16433499899721937,0.25,1.0
50,5,24,108,0.16009064499667147,1.6700505511835217e-07,0.1600908120017266,0.5,1.0
50,5,41,58,0.10385458200471476,1.7399725038558245e-07,0.10385475600196514,1.0,1.0
50,5,56,104,0.251835059003497,3.71997884940356e-07,0.25183543100138195,1.0,0.5
50,5,50,103,0.24462451600265922,3.659952199086547e-07,0.24462488199787913,1.0,0.25
100,1,39,103,0.3813488499945379,3.810055204667151e-07,0.38134923100005835,0.25,1.0
100,1,29,64,0.16762898399611004,3.500026650726795e-07,0.1676293339987751,0.5,1.0
