u,v,weight
444,445,36
838,839,40
99,100,40
687,688,32
719,720,40
536,537,40
898,899,40
930,931,40
159,160,40
8,9,40
779,780,39
40,41,39
628,629,39
251,252,35
477,478,40
100,101,37
871,872,40
132,133,38
720,721,40
931,932,40
569,570,40
963,964,38
192,193,37
41,42,38
73,74,39
661,662,35
284,285,38
872,873,40
133,134,39
904,905,40
753,754,39
712,991,6
376,377,40
14,15,39
964,965,40
225,226,31
74,75,39
845,846,39
468,469,39
106,107,40
299,422,1
694,695,33
317,318,40
905,906,39
937,938,40
166,167,40
15,16,40
786,787,40
409,410,40
47,48,39
226,227,39
997,998,38
258,259,40
846,847,40
107,108,40
878,879,40
318,319,40
350,351,38
938,939,40
199,200,35
48,49,39
442,443,38
259,260,40
80,81,40
291,292,40
879,880,39
69,755,1
140,141,39
351,352,38
971,972,38
232,233,39
820,821,40
443,444,40
81,82,34
475,476,39
292,293,40
324,325,31
912,913,40
535,536,40
384,385,40
22,23,39
416,417,39
233,234,39
268,591,1
627,628,38
853,854,36
476,477,39
114,115,39
325,326,32
357,358,39
945,946,40
568,569,40
206,207,39
417,418,34
55,56,40
449,450,39
266,267,40
660,661,39
996,997,40
886,887,40
509,510,40
147,148,40
358,359,39
390,391,40
207,208,40
601,602,29
239,240,40
710,756,1
450,451,40
299,300,37
693,694,40
331,332,39
542,543,40
391,392,40
423,424,40
240,241,30
602,603,28
634,635,40
970,971,39
483,484,37
364,365,40
181,182,40
575,576,40
424,425,40
635,636,40
273,274,40
667,668,36
516,517,40
727,728,24
365,366,32
608,609,40
819,820,38
457,458,40
668,669,35
911,912,40
549,550,40
760,761,40
398,399,35
21,22,40
609,610,40
641,642,40
852,853,35
490,491,40
113,114,39
701,702,40
339,340,40
944,945,40
582,583,36
205,206,40
793,794,39
431,432,39
54,55,38
752,753,40
642,643,39
674,675,40
885,886,40
523,524,40
146,147,40
734,735,40
583,584,25
615,616,40
826,827,39
87,88,40
675,676,36
918,919,35
179,180,40
767,768,40
28,29,40
726,727,25
616,617,40
648,649,32
88,89,39
859,860,38
120,121,40
708,709,32
557,558,40
180,181,40
29,30,40
800,801,39
649,650,40
272,273,40
121,122,40
892,893,40
153,154,36
741,742,39
2,3,40
700,701,40
213,214,40
833,834,39
94,95,40
682,683,40
154,155,38
3,4,39
774,775,36
397,398,38
35,36,39
733,734,40
985,986,40
246,247,37
623,624,40
95,96,40
127,128,40
715,716,40
338,339,39
187,188,40
36,37,39
807,808,40
430,431,38
256,269,1
279,280,39
977,978,39
899,900,40
160,161,40
371,372,40
959,960,40
707,708,40
220,221,39
69,70,40
101,102,38
312,313,37
161,162,40
372,373,35
10,11,39
404,405,40
992,993,38
253,254,17
951,952,40
464,465,40
102,103,39
313,314,38
345,346,40
933,934,39
556,557,40
194,195,39
405,406,40
43,44,40
286,287,40
984,985,25
497,498,39
135,136,38
346,347,40
378,379,40
966,967,40
227,228,39
925,926,40
438,439,40
76,77,33
287,288,39
319,320,40
530,531,38
168,169,40
489,490,39
379,380,40
622,623,40
260,261,40
958,959,40
471,472,38
320,321,40
352,353,36
563,564,40
412,413,40
261,262,40
293,294,40
991,992,39
504,505,39
463,464,39
353,354,39
385,386,40
596,597,32
932,933,40
445,446,37
294,295,40
537,538,40
748,749,38
386,387,39
9,10,40
629,630,40
840,841,40
478,479,34
689,690,40
437,438,40
327,328,39
570,571,40
781,782,38
419,420,40
42,43,38
873,874,40
511,512,39
134,135,40
360,361,40
63,93,1
681,682,40
343,803,1
603,604,39
814,815,40
452,453,40
75,76,37
773,774,40
411,412,40
663,664,40
590,652,1
544,545,39
16,17,40
714,715,39
847,848,40
806,807,40
696,697,40
655,656,40
577,578,39
788,789,40
49,50,39
747,748,40
637,638,39
729,730,40
839,840,40
688,689,33
201,202,39
50,51,40
821,822,36
82,83,34
780,781,40
670,671,40
142,143,39
174,980,1
762,763,40
23,24,37
234,235,39
83,84,40
854,855,40
115,116,40
813,814,39
703,704,40
326,327,39
662,663,40
175,176,40
24,25,39
795,796,36
56,57,37
644,645,39
965,966,40
116,117,40
736,737,40
359,360,40
695,696,34
208,209,40
57,58,39
828,829,33
167,168,40
89,90,39
787,788,40
300,301,40
