u,v,weight
379,380,40
434,435,40
838,839,40
260,261,40
99,100,40
958,959,40
898,899,40
375,376,40
930,931,40
159,160,40
352,353,36
320,321,40
8,9,40
412,413,40
261,262,40
871,872,40
20,712,1
293,294,40
343,344,23
931,932,40
353,354,39
408,409,40
385,386,40
932,933,40
872,873,40
349,350,40
904,905,40
294,295,40
376,377,40
964,965,40
386,387,39
441,442,40
9,10,40
106,107,40
840,841,40
317,318,40
382,383,40
437,438,40
937,938,40
166,167,40
15,16,40
786,787,40
409,410,40
419,420,40
258,259,40
846,847,40
107,108,40
878,879,40
318,319,40
873,874,40
350,351,38
938,939,40
134,135,40
360,361,40
415,416,40
442,443,36
259,260,40
80,81,40
814,815,40
291,292,40
773,774,40
356,357,40
411,412,40
351,352,38
383,384,39
16,17,40
820,821,40
443,444,40
347,348,40
847,848,40
292,293,40
912,913,40
806,807,40
384,385,40
439,440,40
416,417,39
788,789,40
747,748,40
380,381,36
357,358,39
945,946,40
839,840,40
729,730,40
417,418,34
55,56,40
266,267,40
50,51,40
996,997,40
886,887,40
780,781,40
147,148,40
358,359,39
413,414,40
390,391,40
207,208,40
762,763,40
239,240,40
354,355,40
83,84,40
854,855,40
115,116,40
391,392,40
175,176,40
423,424,40
965,966,40
387,388,40
116,117,40
364,365,40
181,182,40
736,737,40
359,360,40
414,415,40
424,425,40
208,209,40
273,274,40
167,168,40
787,788,40
355,356,40
300,301,40
365,366,32
420,421,40
149,150,40
30,31,40
939,940,40
361,362,40
200,201,40
911,912,40
388,389,40
333,334,40
760,761,40
398,399,35
21,22,40
880,881,40
141,142,40
243,916,1
761,762,40
435,436,40
274,275,40
394,395,39
339,340,40
123,124,40
389,390,40
944,945,40
200,722,4
421,422,37
205,206,40
431,432,39
752,753,40
426,427,40
64,65,40
885,886,40
362,363,40
146,147,40
734,735,40
427,428,40
156,157,40
422,423,38
946,947,40
87,88,40
173,722,1
363,364,40
418,419,35
395,396,40
340,341,40
179,180,40
767,768,40
887,888,40
28,29,40
400,401,40
148,149,40
281,282,40
120,121,40
396,397,40
180,181,40
428,429,40
29,30,40
709,811,6
433,434,40
272,273,40
392,393,35
121,122,40
892,893,40
369,370,40
2,3,40
861,862,40
374,375,40
429,430,36
122,123,40
213,214,40
713,973,1
94,95,40
953,954,40
370,371,38
425,426,40
402,403,40
397,398,38
985,986,40
733,734,40
407,408,40
366,367,32
95,96,40
243,922,1
127,128,40
393,394,37
348,349,40
403,404,40
187,188,40
712,891,2
807,808,40
430,431,38
440,441,38
63,64,40
344,345,37
399,400,40
899,900,40
160,161,40
371,372,40
959,960,40
381,382,36
436,437,40
69,70,40
367,368,40
794,795,40
377,378,40
432,433,40
161,162,40
372,373,35
404,405,40
951,952,40
735,736,40
