pan,genome id,genome size,path_id,length
SEQ,0,40,0,2
SEQ,0,40,1,2
SEQ,0,40,2,4
SEQ,0,40,3,4
SEQ,0,40,4,2
SEQ,0,40,5,2
SEQ,0,40,6,5
SEQ,0,40,7,3
SEQ,0,40,8,2
SEQ,0,40,9,2
SEQ,0,40,10,2
SEQ,0,40,11,2
SEQ,0,40,12,4
SEQ,0,40,13,2
SEQ,0,40,14,2
SEQ,1,72,0,2
SEQ,1,72,1,2
SEQ,1,72,2,4
SEQ,1,72,3,4
SEQ,1,72,4,2
SEQ,1,72,5,2
SEQ,1,72,6,3
SEQ,1,72,7,2
SEQ,1,72,8,2
SEQ,1,72,9,4
SEQ,1,72,10,6
SEQ,1,72,11,3
SEQ,1,72,12,2
SEQ,1,72,13,3
SEQ,1,72,14,3
SEQ,1,72,15,2
SEQ,1,72,16,3
SEQ,1,72,17,3
SEQ,1,72,18,4
SEQ,1,72,19,3
SEQ,1,72,20,3
SEQ,1,72,21,6
SEQ,1,72,22,4
SEQ,2,82,0,2
SEQ,2,82,1,4
SEQ,2,82,2,4
SEQ,2,82,3,3
SEQ,2,82,4,3
SEQ,2,82,5,2
SEQ,2,82,6,6
SEQ,2,82,7,2
SEQ,2,82,8,2
SEQ,2,82,9,6
SEQ,2,82,10,3
SEQ,2,82,11,4
SEQ,2,82,12,5
SEQ,2,82,13,4
SEQ,2,82,14,9
SEQ,2,82,15,6
SEQ,2,82,16,4
SEQ,2,82,17,3
SEQ,2,82,18,4
SEQ,2,82,19,3
SEQ,2,82,20,3
SEQ,3,91,0,4
SEQ,3,91,1,2
SEQ,3,91,2,2
SEQ,3,91,3,5
SEQ,3,91,4,9
SEQ,3,91,5,9
SEQ,3,91,6,6
SEQ,3,91,7,3
SEQ,3,91,8,4
SEQ,3,91,9,4
SEQ,3,91,10,11
SEQ,3,91,11,4
SEQ,3,91,12,4
SEQ,3,91,13,4
SEQ,3,91,14,7
SEQ,3,91,15,3
SEQ,3,91,16,6
SEQ,3,91,17,4
SEQ,4,94,0,8
SEQ,4,94,1,4
SEQ,4,94,2,6
SEQ,4,94,3,3
SEQ,4,94,4,2
SEQ,4,94,5,8
SEQ,4,94,6,7
SEQ,4,94,7,5
SEQ,4,94,8,7
SEQ,4,94,9,2
SEQ,4,94,10,4
SEQ,4,94,11,14
SEQ,4,94,12,3
SEQ,4,94,13,4
SEQ,4,94,14,6
SEQ,4,94,15,5
SEQ,4,94,16,2
SEQ,4,94,17,4
SEQ,5,91,0,14
SEQ,5,91,1,4
SEQ,5,91,2,16
SEQ,5,91,3,2
SEQ,5,91,4,4
SEQ,5,91,5,5
SEQ,5,91,6,3
SEQ,5,91,7,4
SEQ,5,91,8,20
SEQ,5,91,9,10
SEQ,5,91,10,9
SEQ,6,96,0,14
