u,v,weight
90,91,40
81,82,39
72,73,40
3,4,41
35,36,41
26,27,41
95,96,41
86,87,35
77,78,41
31,32,41
91,92,18
0,26,1
96,97,27
82,83,40
73,74,9
4,5,41
5,6,41
87,88,17
78,79,40
97,98,28
83,84,38
74,75,11
92,93,22
93,94,41
11,22,2
88,89,18
79,80,37
98,99,41
84,85,38
57,58,41
89,90,40
80,81,36
34,35,41
75,76,41
85,86,32
76,77,41
94,95,41
12,13,40
8,9,40
49,50,40
38,62,1
54,55,40
41,42,40
69,70,40
47,48,40
0,89,7
1,41,1
48,49,40
11,12,40
14,38,3
67,68,34
44,45,37
40,41,39
18,19,29
14,15,37
9,10,38
15,16,37
42,43,36
38,39,38
71,72,33
16,17,39
22,23,39
13,14,36
45,46,38
55,56,37
50,51,36
51,52,38
46,47,39
23,24,39
19,20,33
24,25,36
56,57,38
20,21,38
52,53,25
53,54,23
30,31,32
25,26,39
21,22,39
17,18,36
27,28,33
64,65,36
60,61,10
1,2,29
28,29,32
29,30,30
61,62,19
2,3,28
62,63,39
58,59,38
36,37,37
68,69,36
63,64,33
32,33,39
59,60,32
10,11,37
65,66,37
37,38,37
6,7,36
33,34,39
43,44,34
70,71,33
39,40,37
66,67,39
7,8,38
1,39,1
1,51,3
10,75,2
37,62,2
0,46,1
53,57,1
0,66,1
61,72,3
1,84,1
25,53,1
64,92,4
43,75,1
0,31,2
61,86,2
62,71,3
2,81,1
43,54,2
1,20,1
2,20,1
28,61,3
67,74,1
44,53,1
31,61,3
0,3,2
2,98,2
3,74,2
0,20,1
1,86,1
2,29,1
30,93,1
53,98,4
29,97,2
74,89,4
3,97,3
1,30,1
19,88,2
1,18,1
2,75,1
0,93,1
74,93,2
75,92,2
60,93,4
61,75,1
53,61,1
0,54,1
61,89,5
75,88,7
62,74,4
87,92,2
74,91,1
0,75,5
1,74,4
0,1,4
1,28,1
53,69,2
18,23,1
2,42,1
29,87,1
7,29,1
2,54,2
54,92,1
33,75,2
60,83,1
0,87,2
1,15,1
31,65,1
44,93,2
19,45,1
28,69,2
8,60,1
56,97,1
62,64,2
15,25,2
43,93,1
40,88,2
62,88,2
0,52,2
19,74,1
37,89,1
65,74,2
21,53,2
71,75,1
68,85,2
44,97,1
18,29,1
67,80,1
13,48,1
61,82,1
3,92,1
56,98,1
49,65,1
1,24,1
2,93,1
14,64,1
15,90,1
18,31,1
55,74,1
30,66,1
3,24,1
46,59,1
59,84,1
28,87,1
1,60,1
19,81,1
11,86,1
66,89,1
45,60,1
47,57,1
50,56,1
72,80,1
73,79,1
25,45,1
23,81,1
16,54,1
39,61,1
10,89,1
29,75,1
7,93,1
3,19,1
45,92,1
3,86,1
60,98,1
17,97,1
20,53,1
40,62,1
29,68,1
39,75,1
71,89,1
20,74,1
64,74,1
16,98,1
2,56,1
34,85,1
34,88,1
29,46,1
47,97,1
61,93,1
63,72,1
30,41,1
17,53,1
1,19,1
54,84,1
31,88,1
1,71,1
8,92,1
31,63,1
