pan,genome id,genome size,path_id,length
MST,1,95,0,73
MST,1,95,1,4
MST,1,95,2,3
MST,1,95,3,10
MST,1,95,4,3
MST,1,95,5,2
MST,2,85,0,29
MST,2,85,1,2
MST,2,85,2,12
MST,2,85,3,3
MST,2,85,4,10
MST,2,85,5,5
MST,2,85,6,3
MST,2,85,7,9
MST,2,85,8,2
MST,2,85,9,3
MST,2,85,10,5
MST,2,85,11,2
MST,3,91,0,4
MST,3,91,1,2
MST,3,91,2,10
MST,3,91,3,3
MST,3,91,4,3
MST,3,91,5,15
MST,3,91,6,5
MST,3,91,7,3
MST,3,91,8,3
MST,3,91,9,4
MST,3,91,10,10
MST,3,91,11,11
MST,3,91,12,3
MST,3,91,13,13
MST,3,91,14,2
MST,4,94,0,3
MST,4,94,1,15
MST,4,94,2,3
MST,4,94,3,3
MST,4,94,4,14
MST,4,94,5,4
MST,4,94,6,16
MST,4,94,7,4
MST,4,94,8,10
MST,4,94,9,19
MST,4,94,10,3
MST,5,96,0,3
MST,5,96,1,15
MST,5,96,2,3
MST,5,96,3,16
MST,5,96,4,15
MST,5,96,5,7
MST,5,96,6,10
MST,5,96,7,19
MST,5,96,8,3
MST,5,96,9,5
MST,6,95,0,3
MST,6,95,1,15
MST,6,95,2,3
MST,6,95,3,18
MST,6,95,4,19
MST,6,95,5,15
MST,6,95,6,7
MST,6,95,7,15
MST,7,96,0,3
MST,7,96,1,15
MST,7,96,2,3
MST,7,96,3,4
MST,7,96,4,19
MST,7,96,5,7
MST,7,96,6,29
MST,7,96,7,16
MST,8,97,0,3
MST,8,97,1,3
MST,8,97,2,4
MST,8,97,3,19
MST,8,97,4,29
MST,8,97,5,16
MST,8,97,6,7
MST,8,97,7,16
MST,9,97,0,3
MST,9,97,1,3
MST,9,97,2,4
MST,9,97,3,19
MST,9,97,4,29
MST,9,97,5,7
MST,9,97,6,16
MST,9,97,7,16
MST,10,99,0,3
MST,10,99,1,3
MST,10,99,2,29
MST,10,99,3,7
MST,10,99,4,36
MST,10,99,5,5
MST,10,99,6,16
MST,11,99,0,3
MST,11,99,1,3
MST,11,99,2,29
MST,11,99,3,7
MST,11,99,4,36
MST,11,99,5,5
MST,11,99,6,16
MST,12,100,0,3
MST,12,100,1,29
MST,12,100,2,7
MST,12,100,3,5
MST,12,100,4,16
MST,12,100,5,40
MST,13,100,0,3
MST,13,100,1,29
MST,13,100,2,12
MST,13,100,3,16
MST,13,100,4,40
MST,14,100,0,3
MST,14,100,1,29
MST,14,100,2,12
MST,14,100,3,16
MST,14,100,4,40
MST,15,100,0,29
MST,15,100,1,12
MST,15,100,2,16
MST,15,100,3,43
MST,16,99,0,40
MST,16,99,1,43
MST,16,99,2,16
MST,17,99,0,40
MST,17,99,1,43
MST,17,99,2,16
MST,18,99,0,40
MST,18,99,1,43
MST,18,99,2,16
MST,19,99,0,40
MST,19,99,1,59
MST,20,99,0,40
MST,20,99,1,59
MST,21,99,0,99
MST,22,100,0,100
MST,23,100,0,100
MST,24,100,0,100
MST,25,100,0,100
MST,26,100,0,100
MST,27,100,0,100
MST,28,100,0,100
MST,29,100,0,100
MST,30,100,0,100
MST,31,100,0,100
MST,32,100,0,100
MST,33,100,0,100
MST,34,100,0,100
MST,35,100,0,100
MST,36,100,0,100
MST,37,100,0,100
MST,38,100,0,100
MST,39,21,0,2
MST,39,21,1,2
MST,39,21,2,5
MST,39,21,3,3
MST,39,21,4,2
MST,39,21,5,4
MST,39,21,6,3
MST,40,23,0,2
MST,40,23,1,2
MST,40,23,2,3
MST,40,23,3,4
MST,40,23,4,3
MST,40,23,5,2
MST,40,23,6,3
MST,40,23,7,2
MST,40,23,8,2
