MST_14,simulated_k12_l1500_8,SEQ_2,SEQ_1,simulated_k12_l1500_17,SEQ_4,SEQ_7,simulated_k12_l1500_14,MST_11,MST_8,MST_1,simulated_k12_l1500_21,MST_9,simulated_k12_l1500_12,SEQ_9,simulated_k12_l1500_10,MST_5,SEQ_8,MST_12,simulated_k12_l1500_18,simulated_k12_l1500_20,MST_13,SEQ_6,MST_15,MST_4,SEQ_0,MST_10,SEQ_3,simulated_k12_l1500_22,MST_2,SEQ_12,simulated_k12_l1500_6,MST_7,MST_3,SEQ_11,simulated_k12_l1500_19,MST_6,SEQ_10,simulated_k12_l1500_16,SEQ_5
185.0,,26.0,34.0,,28.0,26.0,,27.0,25.0,766.0,,25.0,,26.0,,29.0,26.0,27.0,,,185.0,25.0,88.0,37.0,73.0,24.0,28.0,0.0,531.0,88.0,,29.0,872.0,27.0,,44.0,27.0,,26.0
703.0,,529.0,510.0,,533.0,544.0,,545.0,533.0,,,542.0,,544.0,,129.0,544.0,545.0,,,703.0,543.0,32.0,125.0,469.0,542.0,531.0,,0.0,32.0,,529.0,429.0,545.0,,516.0,545.0,,544.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
177.0,36.0,28.0,49.0,39.0,20.0,18.0,39.0,19.0,23.0,770.0,45.0,21.0,24.0,18.0,29.0,38.0,18.0,19.0,46.0,25.0,177.0,19.0,91.0,38.0,80.0,20.0,24.0,44.0,536.0,91.0,0.0,29.0,878.0,19.0,19.0,41.0,19.0,45.0,20.0
186.0,,6.0,22.0,,11.0,26.0,,27.0,8.0,,,24.0,,27.0,,,26.0,27.0,,,186.0,25.0,86.0,,67.0,24.0,6.0,,,86.0,,0.0,,28.0,,,28.0,,25.0
701.0,,871.0,848.0,,874.0,882.0,,883.0,874.0,,,879.0,,882.0,,467.0,882.0,883.0,,,701.0,881.0,51.0,467.0,809.0,880.0,871.0,,,51.0,,868.0,0.0,883.0,,857.0,883.0,,880.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,0.0,,,,,
176.0,,17.0,36.0,,15.0,17.0,,18.0,18.0,770.0,44.0,18.0,,17.0,,29.0,17.0,18.0,,10.0,176.0,18.0,92.0,41.0,80.0,19.0,14.0,43.0,534.0,92.0,,20.0,873.0,18.0,0.0,36.0,18.0,,17.0
203.0,,20.0,36.0,,29.0,44.0,,45.0,26.0,,,41.0,,44.0,,,44.0,45.0,,,203.0,43.0,67.0,,51.0,42.0,23.0,,,67.0,,17.0,,45.0,,0.0,45.0,,43.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,0.0,,,0.0,,
186.0,,29.0,51.0,48.0,29.0,27.0,,28.0,28.0,765.0,30.0,26.0,,27.0,,42.0,27.0,28.0,53.0,48.0,186.0,26.0,84.0,39.0,71.0,25.0,29.0,29.0,529.0,84.0,,32.0,871.0,28.0,44.0,40.0,28.0,0.0,27.0
,,,,,,1.0,,,,,,,,2.0,,,1.0,,,,,0.0,,,,,,,,98.0,,,,3.0,,,3.0,,0.0
