gene size,replicate,genomes gt,genomes inf,runtime_phases_1-3,runtime_phase_4,total_runtime,alpha,gamma
50,1,10,7,0.033669783999357605,5.040019459556788e-07,0.03367028800130356,0.25,1.0
50,1,6,3,0.0377407640007732,4.260000423528254e-07,0.03774119000081555,0.5,1.0
50,1,6,6,0.04644503599774907,3.940003807656467e-07,0.04644542999812984,1.0,1.0
50,1,6,6,0.19551660499928403,3.9199949242174625e-07,0.19551699699877645,1.0,0.5
50,1,2,3,0.026408747002278687,3.120003384537995e-07,0.02640905900261714,1.0,0.25
50,2,10,10,0.038242708000325365,3.66999302059412e-07,0.038243074999627424,0.25,1.0
50,2,6,6,0.23134362700147904,3.7000063457526267e-07,0.2313439970021136,0.5,1.0
50,2,8,9,0.45918146000258275,3.5999983083456755e-07,0.4591818200024136,1.0,1.0
50,2,10,12,1.5279265139979543,4.040011845063418e-07,1.5279269179991388,1.0,0.5
50,2,7,9,0.4052283540004282,5.459987733047456e-07,0.40522889999920153,1.0,0.25
50,3,2,2,0.012696678000793327,5.580004653893411e-07,0.012697236001258716,0.25,1.0
50,3,8,9,0.7678188569989288,5.100009730085731e-07,0.7678193669999018,0.5,1.0
50,3,9,10,1.1170959709997987,4.2000101529993117e-07,1.117096391000814,1.0,1.0
50,3,7,7,0.04989252800078248,7.970011211000383e-07,0.04989332500190358,1.0,0.5
50,3,6,6,0.02965946399854147,3.7399877328425646e-07,0.029659837997314753,1.0,0.25
50,4,9,9,0.47249094099970534,3.7900099414400756e-07,0.4724913200006995,0.25,1.0
50,4,8,5,0.021443729998281924,3.759996616281569e-07,0.021444105997943552,0.5,1.0
50,4,3,3,0.010516777001612354,2.9299917514435947e-07,0.010517070000787498,1.0,1.0
50,4,5,5,0.11712027799876523,3.749992174562067e-07,0.11712065299798269,1.0,0.5
50,4,7,8,0.3130105089985591,3.7300196709111333e-07,0.3130108820005262,1.0,0.25
50,5,5,6,0.27961335699728807,5.010006134398282e-07,0.2796138579979015,0.25,1.0
50,5,4,2,0.02262983000036911,5.309993866831064e-07,0.022630360999755794,0.5,1.0
50,5,6,6,0.368330020999565,3.389977791812271e-07,0.3683303599973442,1.0,1.0
50,5,6,7,0.3405536870013748,3.47998138749972e-07,0.34055403499951353,1.0,0.5
50,5,10,10,0.8386095950008894,7.730013749096543e-07,0.8386103680022643,1.0,0.25
100,1,9,7,1.3240338510004221,3.86000465368852e-07,1.3240342370008875,0.25,1.0
100,1,3,3,0.0291920969975763,3.1099989428184927e-07,0.029192407997470582,0.5,1.0
100,1,8,8,2.0720065719979175,3.7900099414400756e-07,2.0720069509989116,1.0,1.0
100,1,3,3,0.02989960000195424,3.749992174562067e-07,0.029899975001171697,1.0,0.5
100,1,9,10,3.840156816997478,3.3700052881613374e-07,3.840157153998007,1.0,0.25
100,2,7,7,0.07291430400073295,4.069988790433854e-07,0.072914710999612,0.25,1.0
100,2,5,5,0.04703782599972328,3.3800097298808396e-07,0.04703816400069627,0.5,1.0
100,2,6,8,1.8196332129991788,4.970024747308344e-07,1.8196337100016535,1.0,1.0
100,2,4,4,0.036931107999407686,3.8700090954080224e-07,0.03693149500031723,1.0,0.5
100,2,4,4,0.04150564500014298,2.900014806073159e-07,0.041505935001623584,1.0,0.25
100,3,2,2,0.01580164799815975,2.6500129024498165e-07,0.015801912999449996,0.25,1.0
100,3,9,10,3.9397552049995284,3.62000719178468e-07,3.9397555670002475,0.5,1.0
100,3,7,4,0.3739796599984402,5.629990482702851e-07,0.37398022299748845,1.0,1.0
100,3,4,4,0.15279938199819298,4.579997039400041e-07,0.15279983999789692,1.0,0.5
100,3,4,4,0.04077114300162066,3.9699807530269027e-07,0.04077153999969596,1.0,0.25
100,4,4,4,0.34506830100144725,3.579989424906671e-07,0.34506865900038974,0.25,1.0
100,4,8,8,2.164983189999475,3.81001882487908e-07,2.1649835710013576,0.5,1.0
100,4,6,6,0.7035669880024216,3.5999983083456755e-07,0.7035673480022524,1.0,1.0
100,4,2,3,0.12413528999968548,3.8299913285300136e-07,0.12413567299881834,1.0,0.5
100,4,10,10,3.1031220459990436,3.76003299606964e-07,3.1031224220023432,1.0,0.25
100,5,8,9,2.8854927069987752,4.120010999031365e-07,2.885493118999875,0.25,1.0
100,5,5,5,0.32131647300047916,3.86000465368852e-07,0.32131685900094453,0.5,1.0
100,5,8,7,0.08528576099706697,5.390029400587082e-07,0.08528630000000703,1.0,1.0
100,5,8,10,3.243825558001845,4.069988790433854e-07,3.243825965000724,1.0,0.5
100,5,4,4,0.20872308800244355,7.729977369308472e-07,0.20872386100018048,1.0,0.25
150,1,5,5,1.0080760170021676,3.8799771573394537e-07,1.0080764049998834,0.25,1.0
150,1,6,8,3.5482043709998834,4.0599843487143517e-07,3.5482047769983183,0.5,1.0
150,1,3,3,0.05250804499883088,2.800006768666208e-07,0.05250832499950775,1.0,1.0
150,1,8,7,0.1731905939996068,2.5099870981648564e-07,0.1731908449983166,1.0,0.5
150,1,4,4,0.5769840710017888,3.62000719178468e-07,0.576984433002508,1.0,0.25
150,2,4,4,0.5361225199994806,4.659996193367988e-07,0.5361229859990999,0.25,1.0
150,2,9,9,2.7497911770005885,3.9199949242174625e-07,2.749791569000081,0.5,1.0
150,2,2,2,0.03421698799866135,4.00003045797348e-07,0.03421738800170715,1.0,1.0
150,2,3,3,0.051364967999688815,4.850007826462388e-07,0.05136545300047146,1.0,0.5
150,2,8,10,8.262480433997553,3.500026650726795e-07,8.262480784000218,1.0,0.25
150,3,5,5,0.09961070999997901,3.170025593135506e-07,0.09961102700253832,0.25,1.0
150,3,7,8,4.956934953999735,3.720015229191631e-07,4.956935326001258,0.5,1.0
150,3,5,4,0.5521997480027494,3.9699807530269027e-07,0.5522001450008247,1.0,1.0
150,3,9,7,0.1934599470005196,3.759996616281569e-07,0.19346032300018123,1.0,0.5
150,3,10,7,0.17185933499786188,4.950015863869339e-07,0.17185982999944827,1.0,0.25
150,4,6,7,3.3991785680009343,3.6900019040331244e-07,3.3991789370011247,0.25,1.0
150,4,4,4,0.800098285999411,3.980021574534476e-07,0.8000986840015685,0.5,1.0
150,4,7,4,0.995712715000991,3.7299832911230624e-07,0.9957130879993201,1.0,1.0
150,4,10,10,0.22814742600166937,3.8299913285300136e-07,0.22814780900080223,1.0,0.5
150,4,10,10,8.60969788500006,3.749992174562067e-07,8.609698259999277,1.0,0.25
150,5,4,4,0.8018207589993835,4.43000317318365e-07,0.8018212019997009,0.25,1.0
150,5,7,7,2.006897980998474,3.540008037816733e-07,2.0068983349992777,0.5,1.0
150,5,3,3,0.34103782799866167,7.890012057032436e-07,0.34103861699986737,1.0,1.0
150,5,6,5,0.13449659799880465,4.120010999031365e-07,0.13449700999990455,1.0,0.5
150,5,7,7,3.5270909009996103,8.319984772242606e-07,3.5270917329980875,1.0,0.25
200,1,10,9,8.170948232000228,3.5500124795362353e-07,8.170948587001476,0.25,1.0
200,1,10,4,1.3344523560008383,3.9699807530269027e-07,1.3344527529989136,0.5,1.0
200,1,10,10,11.854464708001615,3.929999365936965e-07,11.854465101001551,1.0,1.0
200,1,6,6,1.7019682559985085,4.350004019215703e-07,1.7019686909989105,1.0,0.5
200,1,3,3,0.6135812620013894,4.0200029616244137e-07,0.6135816640016856,1.0,0.25
200,2,8,8,7.427337761997478,1.7100319382734597e-07,7.427337933000672,0.25,1.0
200,2,6,3,0.8503890579995641,3.9199949242174625e-07,0.8503894499990565,0.5,1.0
200,2,6,6,2.77470064299996,6.080008461140096e-07,2.7747012510008062,1.0,1.0
200,2,2,2,0.05536911000308464,3.9099904824979603e-07,0.05536950100213289,1.0,0.5
200,2,5,5,0.17329083100048592,4.950015863869339e-07,0.1732913260020723,1.0,0.25
200,3,10,9,10.231642265000119,5.100009730085731e-07,10.231642775001092,0.25,1.0
200,3,7,7,5.9401521229992795,1.8900027498602867e-07,5.9401523119995545,0.5,1.0
200,3,8,8,7.741232250999019,3.57002136297524e-07,7.741232608001155,1.0,1.0
200,3,6,6,3.838246841001819,3.540008037816733e-07,3.838247195002623,1.0,0.5
200,3,8,8,0.2956394869979704,3.249988367315382e-07,0.2956398119968071,1.0,0.25
200,4,10,10,13.43187377600043,4.6399873099289834e-07,13.43187423999916,0.25,1.0
200,4,3,3,1.596137747001194,4.950015863869339e-07,1.5961382420027803,0.5,1.0
200,4,9,4,4.687751356999797,5.520014383364469e-07,4.687751909001236,1.0,1.0
200,4,6,6,0.3491892780002672,4.440007614903152e-07,0.3491897220010287,1.0,0.5
200,4,4,3,0.9880977200009511,4.6800050768069923e-07,0.9880981880014588,1.0,0.25
200,5,2,3,1.4543723339993448,7.460002962034196e-07,1.454373079999641,0.25,1.0
200,5,9,9,15.76085877800142,4.90999809699133e-07,15.76085926900123,0.5,1.0
200,5,6,6,5.197163404998719,4.120010999031365e-07,5.197163816999819,1.0,1.0
200,5,6,7,4.911109471999225,3.390014171600342e-07,4.911109811000642,1.0,0.5
200,5,2,2,0.1055503450006654,3.749992174562067e-07,0.10555071999988286,1.0,0.25
250,1,3,3,0.24269949900190113,3.4199911169707775e-07,0.24269984100101283,0.25,1.0
250,1,3,3,1.3614071990014054,4.949979484081268e-07,1.3614076939993538,0.5,1.0
250,1,3,3,1.2735642449988518,5.069996404927224e-07,1.2735647519984923,1.0,1.0
250,1,9,7,9.738131879999855,4.869980330113322e-07,9.738132366997888,1.0,0.5
250,1,3,3,0.15287562999947113,4.869980330113322e-07,0.15287611699750414,1.0,0.25
250,2,3,3,1.2960342410005978,5.069996404927224e-07,1.2960347480002383,0.25,1.0
250,2,2,3,0.8903131959996244,4.86001226818189e-07,0.8903136820008513,0.5,1.0
250,2,6,6,7.461634890998539,3.2900061341933906e-07,7.4616352199991525,1.0,1.0
250,2,10,10,0.6207414950004022,3.62000719178468e-07,0.6207418570011214,1.0,0.5
250,2,5,7,9.197136707996833,1.0210023901890963e-06,9.197137728999223,1.0,0.25
250,3,3,3,0.1405672479995701,2.61999957729131e-07,0.14056750999952783,0.25,1.0
250,3,10,7,10.694482794002397,4.119974619243294e-07,10.694483205999859,0.5,1.0
250,3,3,3,0.14419332900070003,3.440000000409782e-07,0.14419367300070007,1.0,1.0
250,3,2,2,0.5449486350007646,3.839995770249516e-07,0.5449490190003417,1.0,0.5
