gene size,replicate,genomes gt,genomes base,genomes inf,core gt,core inf,core sd,runtime
575,4,58,2,58,575,575,0,198.3694720679996
575,5,34,104,104,575,0,575,15.658822774999862
600,1,43,2,43,600,600,0,124.54920351500004
600,2,13,28,28,600,0,600,5.12521981700047
600,3,18,88,88,600,0,600,7.96499570099877
600,4,12,2,12,600,600,0,13.0603545569993
600,5,9,2,9,600,600,0,8.067856883000786
625,1,12,35,35,625,0,625,5.152707835999536
625,2,37,98,98,625,0,625,20.434751617000074
625,3,51,88,88,625,0,625,30.19820923899897
625,4,42,65,65,625,0,625,23.773644225999305
625,5,65,116,116,625,0,625,40.161432674000025
650,1,23,2,23,650,645,5,46.12537303099998
650,2,12,23,23,650,0,650,5.692335428999286
650,3,2,2,2,650,650,0,0.8343422180005291
650,4,31,118,118,650,0,650,18.01748072999908
650,5,18,51,51,650,0,650,9.507747317000394
675,1,39,115,115,675,0,675,25.433712557000035
675,2,29,106,106,675,0,675,17.862610341999243
675,3,48,33,52,675,38,637,171.7653882499999
675,4,3,13,13,675,0,675,1.0436899529995571
675,5,26,138,138,675,0,675,15.91577114500069
700,1,60,66,66,700,0,700,46.865016180001476
700,2,2,2,2,700,700,0,1.0168836650009325
700,3,41,97,97,700,0,700,32.65512440600105
700,4,24,76,76,700,0,700,15.707809552999606
700,5,53,94,94,700,0,700,38.22966891999931
725,1,33,48,48,725,0,725,23.06700020399876
725,2,32,49,49,725,0,725,23.8991428169993
725,3,19,2,19,725,720,5,40.7327164039998
725,4,55,154,154,725,0,725,42.08885880100024
725,5,46,154,154,725,0,725,35.60010626499934
750,1,13,49,49,750,0,750,8.856780592001087
750,2,3,7,7,750,0,750,1.3651770800006489
750,3,67,154,154,750,0,750,61.67169889300021
750,4,27,2,27,750,750,0,83.09026521300075
750,5,18,43,43,750,0,750,13.368241961999956
775,1,11,15,15,775,2,773,9.488243842999509
775,2,35,102,102,775,0,775,29.373572063999745
775,3,36,2,36,775,750,25,142.56913672300107
775,4,58,152,152,775,0,775,55.035944944998846
775,5,18,29,29,775,0,775,13.731420383999648
800,1,66,52,74,800,2,798,386.0191348080007
800,2,63,2,63,800,800,0,470.6139896140012
800,3,64,2,64,800,800,0,492.2488484200003
800,4,36,2,36,800,797,3,168.16730964199996
800,5,3,2,3,800,800,0,2.578327149998586
825,1,20,2,20,825,825,0,58.59702882500096
825,2,14,2,14,825,824,1,31.976640531000157
825,3,32,2,32,825,825,0,139.08389526599967
825,4,9,13,13,825,2,823,8.359649101001196
825,5,59,2,59,825,825,0,433.5017268240008
850,1,44,69,69,850,0,850,48.3714711749999
850,2,55,63,63,850,0,850,63.27567198399993
850,3,27,40,40,850,0,850,25.59691815899896
850,4,15,70,70,850,0,850,12.613177248000284
850,5,51,166,166,850,0,850,57.855175136999605
875,1,11,2,11,875,875,0,24.372139818000505
875,2,9,3,10,875,124,751,17.835341154999696
875,3,49,68,68,875,0,875,55.7629046080001
875,4,45,2,45,875,875,0,290.23973306399967
875,5,55,49,59,875,3,872,315.8911219010006
900,1,48,2,48,900,890,10,331.1042985899985
900,2,37,159,159,900,0,900,45.440039449000324
900,3,33,144,144,900,0,900,38.12824799600094
900,4,66,66,69,900,83,817,525.4831835280002
900,5,58,174,174,900,0,900,80.39454746900083
925,1,67,2,67,925,925,0,736.7160904149987
925,2,47,113,113,925,0,925,62.81715065299977
925,3,64,184,184,925,0,925,97.25301958499949
925,4,37,2,37,925,915,10,226.74547148800048
925,5,6,2,6,925,925,0,10.13672697400034
950,1,24,74,74,950,0,950,28.256544452000526
950,2,32,54,54,950,0,950,41.293748662001235
950,3,65,2,65,950,877,73,700.4969660980005
950,4,54,2,54,950,950,0,513.6545026539989
950,5,58,80,80,950,0,950,88.07102212000245
975,1,63,234,234,975,0,975,107.63277074400321
975,2,49,142,142,975,0,975,76.07261550399926
975,3,8,11,11,975,2,973,10.122231293000368
975,4,10,2,10,975,975,0,25.058256035998056
975,5,11,11,12,975,70,905,23.006737662999512
1000,1,25,20,26,1000,43,957,106.4008573309984
1000,2,42,100,100,1000,0,1000,68.4364174259972
1000,3,53,2,53,1000,943,57,537.7056120529996
1000,4,13,71,71,1000,0,1000,15.412393563001388
1000,5,31,2,31,1000,1000,0,191.25428622399704
