gene size,replicate,genomes gt,genomes base,genomes inf,core gt,core inf,core sd,runtime
575,4,24,3,29,575,1,574,82.48304607200043
575,5,18,2,21,575,6,569,26.410795654999674
600,1,62,2,69,600,1,599,271.6155345349998
600,2,4,2,4,600,597,3,2.8150713739996718
600,3,60,2,60,600,544,56,243.72929998600011
600,4,37,2,37,600,600,0,102.38903233100064
600,5,11,2,11,600,600,0,12.004417806001584
625,1,27,2,31,625,1,624,60.09801508500095
625,2,12,4,15,625,1,624,11.089734903000135
625,3,7,2,8,625,3,622,6.184833503000846
625,4,36,3,42,625,1,624,98.67366475100062
625,5,3,5,5,625,1,624,0.8052454059998126
650,1,20,3,22,650,6,644,35.48925576699912
650,2,13,11,19,650,187,463,14.599399597000229
650,3,53,2,62,650,1,649,241.65557550800077
650,4,65,3,76,650,2,648,271.71121997999944
650,5,51,2,51,650,650,0,216.01247405699905
675,1,45,2,45,675,650,25,183.51166535599987
675,2,21,2,23,675,6,669,44.79330285499964
675,3,54,3,68,675,1,674,239.9536802019993
675,4,61,3,71,675,1,674,315.9572045160003
675,5,62,2,62,675,675,0,393.3923511060002
700,1,59,12,65,700,3,697,243.263579905999
700,2,13,5,15,700,3,697,16.6398957349993
700,3,69,2,69,700,700,0,470.81178786499913
700,4,12,2,14,700,1,699,18.30860752999979
700,5,38,3,43,700,5,695,132.294109036
725,1,26,3,30,725,2,723,103.31285755399949
725,2,40,2,51,725,1,724,228.8676921510014
725,3,34,3,39,725,1,724,167.50625696899806
725,4,44,6,54,725,1,724,174.9081451100028
725,5,66,2,79,725,1,724,394.01873207099925
750,1,17,2,20,750,1,749,36.862669874997664
750,2,35,3,42,750,1,749,127.790857289001
750,3,4,2,4,750,750,0,3.466179146998911
750,4,62,3,66,750,1,749,367.28429111900186
750,5,3,2,3,750,750,0,2.2308612940032617
775,1,48,5,55,775,0,775,200.54739169300228
775,2,19,4,21,775,5,770,38.42626749200281
775,3,32,3,34,775,4,771,96.63014238500182
775,4,46,2,54,775,1,774,233.43042429100024
775,5,17,2,18,775,29,746,39.686539139998786
800,1,60,2,65,800,1,799,407.01531284799785
800,2,26,3,33,800,1,799,77.15171070799988
800,3,67,4,78,800,1,799,447.28257844100153
800,4,17,6,20,800,3,797,37.392529551001644
800,5,46,2,54,800,1,799,243.6917262729985
825,1,38,3,44,825,1,824,185.44606917200144
825,2,62,2,62,825,825,0,488.1417708789995
825,3,20,5,24,825,1,824,46.88431929500075
825,4,64,2,64,825,825,0,521.9555573500002
825,5,52,2,52,825,799,26,343.6275068970026
850,1,68,2,78,850,1,849,664.3220710349997
850,2,41,3,49,850,1,849,222.0932293629994
850,3,38,2,42,850,2,848,199.3973903240003
850,4,49,2,59,850,1,849,312.16728076399886
850,5,27,2,30,850,2,848,103.26878900500014
875,1,3,2,3,875,875,0,2.98664717399879
875,2,11,2,11,875,875,0,23.622733440999582
875,3,50,2,59,875,1,874,358.39458517599996
875,4,69,2,69,875,838,37,674.438176478001
875,5,67,2,67,875,858,17,638.043438163997
900,1,8,2,9,900,4,896,15.650187988001562
900,2,8,2,8,900,899,1,15.424003811000148
900,3,53,3,61,900,2,898,409.72494478000226
900,4,24,2,24,900,892,8,96.78026810499796
900,5,41,2,49,900,1,899,259.2861352639993
925,1,11,2,11,925,925,0,27.591127439001866
925,2,23,4,26,925,1,924,82.36251122600152
925,3,35,2,35,925,912,13,205.70626743699904
925,4,28,3,30,925,5,920,117.08058097200046
925,5,33,2,33,925,925,0,186.5402656280021
950,1,15,2,15,950,949,1,48.72112958000071
950,2,15,2,15,950,947,3,48.51943722099895
950,3,41,3,45,950,2,948,242.58318271499957
950,4,20,2,21,950,16,934,79.47820712699831
950,5,54,2,69,950,1,949,485.49968114100193
975,1,47,3,55,975,1,974,383.6734008099993
975,2,22,3,24,975,4,971,95.72379227700003
975,3,20,2,21,975,31,944,82.11428846199851
975,4,19,3,23,975,1,974,61.547881389000395
975,5,25,2,25,975,975,0,125.88145498599988
1000,1,24,8,30,1000,3,997,93.43499965099909
1000,2,2,8,8,1000,0,1000,0.827414522998879
1000,3,55,3,65,1000,1,999,540.0799761950002
1000,4,38,2,42,1000,1,999,277.63391400699766
1000,5,2,15,15,1000,0,1000,1.0090040719987883
