u,v,weight
444,445,68
67,68,68
99,100,68
159,160,67
8,9,52
40,41,66
251,252,67
477,478,67
100,101,68
343,344,68
192,193,67
41,42,67
73,74,66
284,285,64
133,134,45
14,15,68
225,226,67
74,75,65
468,469,67
106,107,66
317,318,68
166,167,68
15,16,65
409,410,67
226,227,64
47,48,68
258,259,66
107,108,59
318,319,68
350,351,64
199,200,67
48,49,33
442,443,53
259,260,67
80,81,68
291,292,68
140,141,68
351,352,66
383,384,65
232,233,68
443,444,67
81,82,67
475,476,67
292,293,68
173,174,68
384,385,68
22,23,67
416,417,68
233,234,68
265,266,65
476,477,68
114,115,68
357,358,68
206,207,68
417,418,63
55,56,55
449,450,68
266,267,68
298,299,65
147,148,68
358,359,68
390,391,67
207,208,68
239,240,61
299,300,65
331,332,65
391,392,68
423,424,67
240,241,67
483,484,68
332,333,68
364,365,65
181,182,67
424,425,68
273,274,68
365,366,65
214,215,68
457,458,68
306,307,68
398,399,65
21,22,68
490,491,65
113,114,68
339,340,67
205,206,68
431,432,68
54,55,68
146,147,68
87,88,64
179,180,67
28,29,67
88,89,68
120,121,67
180,181,66
29,30,67
61,62,68
272,273,68
121,122,67
153,154,64
2,3,68
213,214,68
62,63,64
94,95,68
305,306,68
154,155,68
3,4,67
397,398,65
35,36,67
95,96,68
127,128,68
338,339,67
187,188,68
36,37,68
430,431,68
68,69,66
279,280,67
128,129,65
160,161,68
220,221,36
69,70,68
101,102,48
312,313,50
161,162,65
404,405,65
253,254,68
464,465,58
102,103,62
313,314,62
345,346,68
194,195,68
405,406,64
43,44,66
286,287,68
135,136,68
346,347,68
378,379,67
227,228,66
438,439,68
76,77,68
287,288,65
319,320,68
168,169,68
379,380,68
489,490,68
471,472,68
320,321,68
352,353,68
412,413,68
261,262,68
293,294,63
353,354,54
463,464,67
385,386,67
294,295,68
14,497,1
386,387,67
9,10,44
478,479,68
327,328,68
437,438,67
419,420,61
42,43,68
268,269,68
134,135,68
360,361,68
452,453,65
75,76,68
411,412,58
16,17,67
108,109,63
49,50,61
109,110,68
201,202,68
82,83,68
142,143,65
23,24,66
234,235,68
83,84,68
115,116,68
326,327,68
175,176,68
24,25,68
56,57,55
267,268,68
116,117,66
359,360,68
208,209,66
167,168,64
57,58,67
89,90,33
300,301,63
149,150,55
30,31,61
241,242,68
200,201,68
90,91,56
333,334,63
182,183,36
141,142,68
31,32,58
274,275,64
485,486,62
123,124,63
215,216,68
426,427,68
174,175,66
64,65,68
307,308,67
156,157,67
5,6,68
248,249,65
459,460,68
97,98,65
418,419,68
340,341,68
189,190,65
400,401,66
281,282,68
492,493,68
451,452,68
222,223,68
433,434,68
392,393,68
314,315,68
484,485,68
122,123,68
374,375,68
466,467,68
425,426,68
407,408,64
366,367,67
348,349,68
458,459,66
440,441,68
63,64,68
399,400,66
381,382,68
491,492,68
4,5,68
473,474,66
432,433,65
37,38,68
373,374,65
465,466,68
70,71,68
406,407,66
130,131,68
498,499,68
163,164,68
44,45,68
255,256,66
196,197,68
155,156,63
288,289,68
137,138,68
247,248,65
96,97,65
18,19,68
229,230,67
188,189,67
170,171,68
280,281,68
129,130,65
