u,v,weight
293,294,63
108,109,63
300,301,63
333,334,63
123,124,63
155,156,63
420,421,63
72,73,63
11,336,1
102,103,62
313,314,62
51,150,4
485,486,62
472,473,62
335,336,62
242,243,62
0,52,2
263,264,62
495,496,62
52,149,3
239,240,61
11,237,7
419,420,61
49,50,61
30,31,61
12,236,7
60,90,2
283,284,61
38,39,61
105,106,61
86,87,61
422,423,61
178,411,1
1,10,1
446,447,60
264,265,60
13,14,60
107,133,2
462,463,60
59,60,60
107,108,59
56,443,4
334,335,59
9,31,1
133,178,7
134,411,1
0,1,59
464,465,58
411,412,58
31,32,58
51,52,58
90,91,56
55,56,55
56,57,55
149,150,55
353,354,54
11,134,9
236,237,54
9,236,2
442,443,53
235,236,53
45,46,53
8,9,52
177,178,52
312,313,50
0,50,1
481,482,50
50,183,6
101,102,48
183,222,13
12,133,1
133,134,45
371,372,45
9,442,1
9,10,44
8,11,7
50,51,43
410,411,42
11,12,37
11,182,1
220,221,36
182,183,36
152,153,36
132,133,35
445,446,35
148,149,35
221,222,35
176,177,35
183,184,34
48,49,33
89,90,33
441,442,33
7,8,33
58,59,32
10,11,23
483,486,1
12,422,1
482,487,1
218,496,1
1,354,1
442,454,1
59,222,1
11,447,1
103,313,1
314,335,1
336,463,1
102,412,1
335,464,1
420,447,1
217,497,1
74,411,1
313,336,1
102,314,1
14,497,1
11,178,1
1,51,1
153,454,1
178,236,1
73,412,1
52,264,1
51,265,1
13,498,1
8,32,1
177,237,1
106,134,1
12,411,1
150,372,1
177,423,1
58,124,1
325,373,1
149,373,1
73,222,1
326,372,1
103,473,1
225,237,1
57,125,1
9,259,1
8,443,1
