u,v,weight
3,4,21
16,17,19
12,13,53
21,22,40
22,23,47
8,9,34
13,14,45
15,20,6
18,19,33
4,5,29
5,6,48
23,24,59
0,1,4
9,10,31
10,11,8
6,7,33
20,21,43
2,3,6
11,12,28
7,8,21
1,2,31
19,20,37
5,17,6
3,10,4
11,22,4
6,23,2
15,16,54
0,18,8
4,7,4
0,23,4
11,20,6
3,19,6
12,22,3
17,18,24
8,14,2
2,20,3
7,10,2
0,15,3
1,9,4
5,8,5
1,7,5
12,14,4
4,21,1
15,19,2
3,22,2
0,24,1
7,23,1
0,10,6
8,17,3
20,22,1
9,12,3
6,14,1
11,18,5
3,5,1
5,15,4
1,17,14
10,16,1
2,18,9
0,11,5
10,15,1
0,20,3
18,23,1
2,16,4
12,19,4
3,9,2
7,24,5
8,11,5
16,19,4
2,12,2
3,15,1
12,23,2
10,14,2
8,19,3
21,24,3
7,15,2
2,5,7
4,14,2
14,15,41
18,21,2
0,3,10
17,22,1
1,13,3
8,10,1
1,4,4
7,22,2
3,21,1
11,17,2
5,10,4
4,11,2
2,22,1
4,9,7
4,18,4
9,11,2
3,8,2
0,12,4
11,23,1
8,12,2
19,23,3
14,20,3
10,22,2
9,23,3
2,10,1
15,17,1
18,22,3
3,11,4
1,11,5
7,12,5
2,6,1
0,4,1
8,22,1
1,6,6
3,17,7
4,10,4
0,13,4
1,8,3
3,12,3
4,20,2
12,17,2
4,13,1
6,11,1
5,20,1
7,14,2
5,12,1
0,6,3
10,19,3
2,15,3
0,8,4
9,15,2
0,9,2
5,19,1
3,14,5
4,19,1
13,20,1
0,22,1
12,21,3
0,5,6
1,10,2
2,11,2
6,18,1
2,13,1
11,21,2
10,18,1
7,20,1
17,19,1
1,16,1
6,22,2
4,16,2
7,17,1
3,7,3
13,21,1
19,21,1
4,12,1
0,7,1
2,9,2
9,20,4
1,14,1
7,18,2
5,21,1
4,22,1
1,3,4
10,24,1
8,13,4
18,24,1
9,13,1
8,18,4
11,15,1
9,17,1
3,20,1
4,23,3
5,22,4
1,19,4
8,21,2
6,21,2
10,17,2
11,14,1
