u,v,weight
9,10,31
12,23,2
3,4,21
6,7,33
4,5,29
8,9,34
5,6,48
23,24,59
7,8,21
19,20,37
0,3,10
21,22,40
18,19,33
22,23,47
0,18,8
20,21,43
13,14,45
4,23,3
12,13,53
11,12,28
15,16,54
17,18,24
14,15,41
16,17,19
9,23,3
1,2,31
1,17,10
5,22,4
1,13,3
19,23,3
8,13,3
4,20,2
5,15,2
0,20,3
5,10,4
0,23,4
14,20,3
3,12,3
5,8,5
2,20,3
0,13,4
12,14,4
10,19,3
15,20,4
9,20,4
7,14,2
3,14,5
4,22,1
8,19,3
12,17,2
16,19,4
18,22,3
0,5,6
6,21,2
11,22,1
12,21,3
11,20,6
2,15,2
1,19,4
7,18,2
5,17,4
12,19,4
0,6,2
4,21,1
4,18,3
8,18,4
3,19,6
1,6,6
4,9,7
2,5,6
1,8,3
2,9,1
11,18,5
9,12,3
1,4,3
7,12,5
1,7,4
2,18,9
0,7,1
4,16,2
3,8,2
3,7,3
3,17,5
0,8,4
4,10,4
10,17,1
0,10,6
0,11,5
2,3,6
10,11,8
8,14,2
5,21,1
7,10,2
6,23,2
2,22,1
3,9,2
15,19,2
3,22,2
2,12,2
11,21,2
4,11,2
10,18,1
0,9,2
8,12,2
7,22,2
4,14,2
18,21,2
1,10,2
11,17,2
10,14,1
3,20,1
9,15,1
7,15,1
0,24,1
6,22,1
10,15,1
7,17,1
7,23,1
18,23,1
4,19,1
9,13,1
6,14,1
4,12,1
2,13,1
17,22,1
10,16,1
5,19,1
20,22,1
3,21,1
3,5,1
11,23,1
6,18,1
0,4,1
4,13,1
10,24,1
7,20,1
15,17,1
2,10,1
17,19,1
1,14,1
0,22,1
5,20,1
2,6,1
8,22,1
1,16,1
13,21,1
5,12,1
