pan,genome id,genome size,path_id,length
simulated,6,1500,0,184
simulated,6,1500,1,160
simulated,6,1500,2,172
simulated,6,1500,3,6
simulated,6,1500,4,89
simulated,6,1500,5,79
simulated,6,1500,6,104
simulated,6,1500,7,65
simulated,6,1500,8,79
simulated,6,1500,9,17
simulated,6,1500,10,84
simulated,6,1500,11,461
simulated,8,1500,0,182
simulated,8,1500,1,2
simulated,8,1500,2,11
simulated,8,1500,3,80
simulated,8,1500,4,104
simulated,8,1500,5,145
simulated,8,1500,6,197
simulated,8,1500,7,84
simulated,8,1500,8,133
simulated,8,1500,9,52
simulated,8,1500,10,92
simulated,8,1500,11,93
simulated,8,1500,12,29
simulated,8,1500,13,81
simulated,8,1500,14,127
simulated,8,1500,15,88
simulated,10,1500,0,151
simulated,10,1500,1,51
simulated,10,1500,2,17
simulated,10,1500,3,88
simulated,10,1500,4,103
simulated,10,1500,5,76
simulated,10,1500,6,45
simulated,10,1500,7,107
simulated,10,1500,8,59
simulated,10,1500,9,59
simulated,10,1500,10,84
simulated,10,1500,11,225
simulated,10,1500,12,9
simulated,10,1500,13,91
simulated,10,1500,14,121
simulated,10,1500,15,214
simulated,12,1500,0,43
simulated,12,1500,1,291
simulated,12,1500,2,76
simulated,12,1500,3,17
simulated,12,1500,4,117
simulated,12,1500,5,84
simulated,12,1500,6,107
simulated,12,1500,7,41
simulated,12,1500,8,184
simulated,12,1500,9,107
simulated,12,1500,10,76
simulated,12,1500,11,75
simulated,12,1500,12,207
simulated,12,1500,13,75
simulated,14,1500,0,11
simulated,14,1500,1,97
simulated,14,1500,2,87
simulated,14,1500,3,207
simulated,14,1500,4,176
simulated,14,1500,5,134
simulated,14,1500,6,43
simulated,14,1500,7,55
simulated,14,1500,8,133
simulated,14,1500,9,7
simulated,14,1500,10,242
simulated,14,1500,11,102
simulated,14,1500,12,58
simulated,14,1500,13,91
simulated,14,1500,14,29
simulated,14,1500,15,21
simulated,14,1500,16,7
simulated,16,1500,0,11
simulated,16,1500,1,104
simulated,16,1500,2,84
simulated,16,1500,3,16
simulated,16,1500,4,149
simulated,16,1500,5,32
simulated,16,1500,6,119
simulated,16,1500,7,130
simulated,16,1500,8,18
simulated,16,1500,9,63
simulated,16,1500,10,21
simulated,16,1500,11,89
simulated,16,1500,12,19
simulated,16,1500,13,259
simulated,16,1500,14,2
simulated,16,1500,15,169
simulated,16,1500,16,124
simulated,16,1500,17,23
simulated,16,1500,18,40
simulated,16,1500,19,3
simulated,16,1500,20,22
simulated,16,1500,21,3
simulated,17,1500,0,5
simulated,17,1500,1,20
simulated,17,1500,2,58
simulated,17,1500,3,48
simulated,17,1500,4,287
simulated,17,1500,5,44
simulated,17,1500,6,97
simulated,17,1500,7,53
simulated,17,1500,8,282
simulated,17,1500,9,84
simulated,17,1500,10,71
simulated,17,1500,11,298
simulated,17,1500,12,101
simulated,17,1500,13,45
simulated,17,1500,14,7
simulated,18,1500,0,5
simulated,18,1500,1,20
simulated,18,1500,2,58
simulated,18,1500,3,81
simulated,18,1500,4,97
simulated,18,1500,5,48
simulated,18,1500,6,55
simulated,18,1500,7,7
simulated,18,1500,8,53
simulated,18,1500,9,84
simulated,18,1500,10,228
simulated,18,1500,11,149
simulated,18,1500,12,101
simulated,18,1500,13,45
simulated,18,1500,14,44
simulated,18,1500,15,2
simulated,18,1500,16,298
simulated,18,1500,17,125
simulated,19,1500,0,22
simulated,19,1500,1,35
simulated,19,1500,2,107
simulated,19,1500,3,150
simulated,19,1500,4,76
simulated,19,1500,5,84
simulated,19,1500,6,184
simulated,19,1500,7,17
simulated,19,1500,8,58
simulated,19,1500,9,138
simulated,19,1500,10,80
simulated,19,1500,11,86
simulated,19,1500,12,463
simulated,20,1500,0,26
simulated,20,1500,1,5
simulated,20,1500,2,107
simulated,20,1500,3,150
simulated,20,1500,4,22
simulated,20,1500,5,129
simulated,20,1500,6,61
simulated,20,1500,7,17
simulated,20,1500,8,58
simulated,20,1500,9,138
simulated,20,1500,10,80
simulated,20,1500,11,84
simulated,20,1500,12,309
simulated,20,1500,13,55
simulated,20,1500,14,50
simulated,20,1500,15,86
simulated,20,1500,16,123
simulated,21,1500,0,11
simulated,21,1500,1,104
simulated,21,1500,2,9
simulated,21,1500,3,9
simulated,21,1500,4,130
simulated,21,1500,5,2
simulated,21,1500,6,87
simulated,21,1500,7,44
simulated,21,1500,8,45
simulated,21,1500,9,63
simulated,21,1500,10,132
simulated,21,1500,11,198
simulated,21,1500,12,119
simulated,21,1500,13,67
simulated,21,1500,14,11
simulated,21,1500,15,33
simulated,21,1500,16,5
simulated,21,1500,17,21
simulated,21,1500,18,32
simulated,21,1500,19,29
simulated,21,1500,20,3
simulated,21,1500,21,201
simulated,21,1500,22,145
simulated,22,1500,0,44
simulated,22,1500,1,132
simulated,22,1500,2,9
simulated,22,1500,3,11
simulated,22,1500,4,85
simulated,22,1500,5,5
simulated,22,1500,6,119
simulated,22,1500,7,48
simulated,22,1500,8,78
simulated,22,1500,9,63
simulated,22,1500,10,104
simulated,22,1500,11,198
simulated,22,1500,12,119
simulated,22,1500,13,67
simulated,22,1500,14,40
simulated,22,1500,15,145
simulated,22,1500,16,2
simulated,22,1500,17,222
simulated,22,1500,18,9
