u,v,weight
838,839,12
536,537,12
8,9,12
40,41,12
871,872,12
343,344,12
569,570,12
1174,1175,12
41,42,12
73,74,12
872,873,12
904,905,12
376,377,12
1207,1208,12
74,75,12
106,107,12
905,906,12
937,938,11
409,410,12
938,939,12
442,443,12
971,972,12
443,444,12
475,476,12
1274,1275,12
1022,1023,12
173,174,12
1004,1005,12
476,477,12
1307,1308,11
206,207,12
1037,1038,12
509,510,12
1340,1341,12
207,208,12
239,240,12
1070,1071,12
1391,1392,12
542,543,12
1373,1374,12
240,241,12
1424,1425,12
575,576,12
1406,1407,12
273,274,12
608,609,12
1439,1440,12
306,307,12
911,912,11
609,610,12
641,642,12
113,114,12
339,340,12
944,945,12
1170,1171,12
1491,1492,12
642,643,12
674,675,12
1221,1222,7
146,147,12
1254,1255,12
179,180,12
726,727,12
708,709,12
180,181,12
1287,1288,12
1011,1012,12
741,742,12
213,214,12
1044,1045,12
774,775,12
246,247,12
1077,1078,11
807,808,12
1128,1129,11
279,280,12
1110,1111,12
312,313,12
1143,1144,12
313,314,12
345,346,12
43,44,12
346,347,12
378,379,12
925,926,12
76,77,12
907,908,12
1228,1229,12
379,380,12
958,959,12
1261,1262,10
991,992,12
463,464,12
1294,1295,12
445,446,12
1024,1025,12
748,749,12
1327,1328,12
1309,1310,12
781,782,12
1360,1361,12
511,512,12
1342,1343,12
814,815,12
1393,1394,12
544,545,12
865,866,12
847,848,12
1426,1427,12
577,578,12
49,50,12
1427,1428,12
1459,1460,12
50,51,12
82,83,12
1460,1461,12
83,84,12
115,116,12
662,663,12
1493,1494,10
644,645,12
965,966,12
116,117,12
695,696,12
998,999,12
149,150,12
728,729,12
200,201,12
1031,1032,12
182,183,12
761,762,12
485,486,12
1064,1065,12
215,216,12
1046,1047,12
518,519,12
1097,1098,12
248,249,12
1079,1080,12
551,552,12
1130,1131,12
281,282,12
1433,1434,12
1131,1132,12
1163,1164,12
314,315,12
861,862,12
1466,1467,12
1164,1165,12
366,367,12
1197,1198,12
348,349,12
