simulated_k12_l1500_6,simulated_k12_l1500_8,simulated_k12_l1500_10,simulated_k12_l1500_12,simulated_k12_l1500_14,simulated_k12_l1500_16,simulated_k12_l1500_17,simulated_k12_l1500_18,simulated_k12_l1500_19,simulated_k12_l1500_20,simulated_k12_l1500_21,simulated_k12_l1500_22,MST_1,MST_2,MST_3,MST_4,MST_5,MST_6,MST_7,MST_8,MST_9,MST_10,MST_11,MST_12,MST_13,MST_14,MST_15,SEQ_0,SEQ_1,SEQ_2,SEQ_3,SEQ_4,SEQ_5,SEQ_6,SEQ_7,SEQ_8,SEQ_9,SEQ_10,SEQ_11,SEQ_12
,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,160.0,160.0,100.0,91.0,46.0,27.0,22.0,19.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,100.0
,,,,,,,,,,,,,,,,,,,,,,,0.0,160.0,160.0,100.0,91.0,46.0,27.0,22.0,19.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,100.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,86.0,250.0,205.0,185.0,181.0,177.0,161.0,160.0,159.0,159.0,159.0,160.0,160.0,86.0
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,86.0,250.0,205.0,185.0,181.0,177.0,161.0,160.0,159.0,159.0,159.0,160.0,160.0,86.0
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,68.0,89.0,90.0,94.0,98.0,99.0,99.0,99.0,100.0,101.0,101.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,45.0,72.0,74.0,78.0,89.0,89.0,90.0,90.0,91.0,92.0,92.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.0,28.0,32.0,45.0,44.0,45.0,45.0,46.0,47.0,47.0,68.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,10.0,24.0,25.0,26.0,26.0,26.0,27.0,27.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,19.0,20.0,21.0,21.0,22.0,23.0,23.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.0,17.0,18.0,18.0,18.0,19.0,19.0,94.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,2.0,3.0,3.0,98.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,2.0,2.0,99.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,99.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,99.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,100.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,101.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,101.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
