pan,genome id,genome size,path_id,length
SEQ,0,1440,0,44
SEQ,0,1440,1,12
SEQ,0,1440,2,15
SEQ,0,1440,3,9
SEQ,0,1440,4,2
SEQ,0,1440,5,2
SEQ,0,1440,6,2
SEQ,0,1440,7,11
SEQ,0,1440,8,43
SEQ,0,1440,9,16
SEQ,0,1440,10,5
SEQ,0,1440,11,12
SEQ,0,1440,12,13
SEQ,0,1440,13,21
SEQ,0,1440,14,22
SEQ,0,1440,15,19
SEQ,0,1440,16,8
SEQ,0,1440,17,18
SEQ,0,1440,18,32
SEQ,0,1440,19,4
SEQ,0,1440,20,18
SEQ,0,1440,21,20
SEQ,0,1440,22,13
SEQ,0,1440,23,4
SEQ,0,1440,24,36
SEQ,0,1440,25,8
SEQ,0,1440,26,18
SEQ,0,1440,27,12
SEQ,0,1440,28,47
SEQ,0,1440,29,3
SEQ,0,1440,30,15
SEQ,0,1440,31,16
SEQ,0,1440,32,8
SEQ,0,1440,33,30
SEQ,0,1440,34,53
SEQ,0,1440,35,5
SEQ,0,1440,36,6
SEQ,0,1440,37,16
SEQ,0,1440,38,3
SEQ,0,1440,39,29
SEQ,0,1440,40,3
SEQ,0,1440,41,24
SEQ,0,1440,42,16
SEQ,0,1440,43,5
SEQ,0,1440,44,21
SEQ,0,1440,45,25
SEQ,0,1440,46,6
SEQ,0,1440,47,22
SEQ,0,1440,48,2
SEQ,0,1440,49,2
SEQ,0,1440,50,53
SEQ,0,1440,51,11
SEQ,0,1440,52,4
SEQ,0,1440,53,13
SEQ,0,1440,54,9
SEQ,0,1440,55,3
SEQ,0,1440,56,12
SEQ,0,1440,57,7
SEQ,0,1440,58,23
SEQ,0,1440,59,6
SEQ,0,1440,60,13
SEQ,0,1440,61,5
SEQ,0,1440,62,14
SEQ,0,1440,63,19
SEQ,0,1440,64,20
SEQ,0,1440,65,17
SEQ,0,1440,66,15
SEQ,0,1440,67,30
SEQ,0,1440,68,9
SEQ,0,1440,69,15
SEQ,0,1440,70,56
SEQ,0,1440,71,20
SEQ,0,1440,72,6
SEQ,0,1440,73,5
SEQ,0,1440,74,44
SEQ,0,1440,75,12
SEQ,0,1440,76,7
SEQ,0,1440,77,3
SEQ,0,1440,78,4
SEQ,0,1440,79,39
SEQ,0,1440,80,5
SEQ,0,1440,81,58
SEQ,0,1440,82,60
SEQ,0,1440,83,11
SEQ,0,1440,84,8
SEQ,0,1440,85,8
SEQ,1,1482,0,2
SEQ,1,1482,1,22
SEQ,1,1482,2,24
SEQ,1,1482,3,20
SEQ,1,1482,4,22
SEQ,1,1482,5,37
SEQ,1,1482,6,119
SEQ,1,1482,7,47
SEQ,1,1482,8,77
SEQ,1,1482,9,34
SEQ,1,1482,10,11
SEQ,1,1482,11,12
SEQ,1,1482,12,29
SEQ,1,1482,13,14
SEQ,1,1482,14,20
SEQ,1,1482,15,15
SEQ,1,1482,16,42
SEQ,1,1482,17,58
SEQ,1,1482,18,6
SEQ,1,1482,19,5
SEQ,1,1482,20,114
SEQ,1,1482,21,48
SEQ,1,1482,22,39
SEQ,1,1482,23,174
SEQ,1,1482,24,20
SEQ,1,1482,25,21
SEQ,1,1482,26,10
SEQ,1,1482,27,5
SEQ,1,1482,28,5
SEQ,1,1482,29,7
SEQ,1,1482,30,43
SEQ,1,1482,31,9
SEQ,1,1482,32,28
SEQ,1,1482,33,77
SEQ,1,1482,34,39
SEQ,1,1482,35,5
SEQ,1,1482,36,58
SEQ,1,1482,37,82
SEQ,1,1482,38,11
SEQ,1,1482,39,65
SEQ,1,1482,40,6
SEQ,2,1498,0,62
SEQ,2,1498,1,63
SEQ,2,1498,2,222
SEQ,2,1498,3,166
SEQ,2,1498,4,123
SEQ,2,1498,5,83
SEQ,2,1498,6,58
SEQ,2,1498,7,23
SEQ,2,1498,8,61
SEQ,2,1498,9,54
SEQ,2,1498,10,127
SEQ,2,1498,11,25
SEQ,2,1498,12,134
SEQ,2,1498,13,56
SEQ,2,1498,14,13
SEQ,2,1498,15,107
SEQ,2,1498,16,11
SEQ,2,1498,17,6
SEQ,2,1498,18,104
SEQ,3,1497,0,62
SEQ,3,1497,1,12
SEQ,3,1497,2,10
SEQ,3,1497,3,166
SEQ,3,1497,4,123
SEQ,3,1497,5,58
SEQ,3,1497,6,23
SEQ,3,1497,7,61
SEQ,3,1497,8,107
SEQ,3,1497,9,54
SEQ,3,1497,10,127
SEQ,3,1497,11,104
SEQ,3,1497,12,25
SEQ,3,1497,13,419
SEQ,3,1497,14,56
SEQ,3,1497,15,6
SEQ,3,1497,16,84
SEQ,4,1498,0,55
SEQ,4,1498,1,123
SEQ,4,1498,2,418
SEQ,4,1498,3,23
SEQ,4,1498,4,61
SEQ,4,1498,5,278
SEQ,4,1498,6,120
SEQ,4,1498,7,127
SEQ,4,1498,8,104
SEQ,4,1498,9,25
SEQ,4,1498,10,6
SEQ,4,1498,11,84
SEQ,4,1498,12,11
SEQ,4,1498,13,63
SEQ,5,1499,0,227
SEQ,5,1499,1,207
SEQ,5,1499,2,1065
SEQ,6,1499,0,227
SEQ,6,1499,1,207
SEQ,6,1499,2,1065
SEQ,7,1499,0,434
SEQ,7,1499,1,1065
SEQ,8,1499,0,434
SEQ,8,1499,1,1065
SEQ,9,1500,0,1065
SEQ,9,1500,1,435
SEQ,10,1500,0,1500
SEQ,11,1500,0,1500
SEQ,12,105,0,3
SEQ,12,105,1,2
SEQ,12,105,2,2
