u,v,weight
163,164,54
136,137,54
90,91,54
35,36,54
47,68,8
44,45,54
164,165,54
116,125,5
141,142,54
31,32,54
95,96,54
104,105,54
113,114,54
114,115,54
5,89,2
155,156,54
91,92,54
36,37,54
132,133,54
197,198,53
183,184,54
192,193,54
41,42,54
146,147,54
165,166,52
133,134,54
51,52,54
170,171,54
97,98,54
152,153,54
74,75,54
65,66,54
68,192,2
198,199,54
166,167,53
148,149,54
24,25,54
184,185,54
185,186,54
19,108,3
98,99,54
20,21,54
52,53,54
61,62,54
125,126,54
144,145,54
44,180,3
167,168,54
48,49,54
112,113,54
153,154,54
2,3,54
66,67,54
140,141,54
62,63,54
94,95,54
25,26,54
72,73,40
67,68,20
99,100,53
159,160,46
8,9,50
40,41,53
100,101,53
0,197,9
137,138,53
96,97,51
18,19,51
73,74,44
14,15,21
9,10,50
129,130,40
106,107,49
111,112,53
15,16,44
47,48,52
42,43,51
107,108,51
162,163,50
134,135,48
38,39,53
103,104,52
80,81,53
75,76,50
85,86,53
16,17,53
71,72,53
81,82,52
108,109,52
118,119,52
12,13,52
22,23,37
77,78,50
49,50,43
109,110,47
13,14,53
151,152,52
45,46,27
55,56,51
110,111,53
50,51,53
105,106,49
82,83,38
147,148,53
142,143,43
46,47,46
23,24,53
78,79,47
143,144,51
83,84,49
138,139,51
115,116,49
169,181,1
19,20,51
79,80,50
56,57,53
116,117,47
181,182,53
57,58,50
89,90,46
149,150,52
53,54,31
30,31,53
145,146,53
26,27,50
182,183,53
21,22,48
86,87,53
123,124,43
17,18,50
27,28,52
54,55,53
64,65,50
119,120,44
174,175,53
156,157,51
5,6,52
60,61,53
87,88,51
1,2,53
189,190,53
28,29,40
93,94,44
88,89,52
120,121,49
29,30,53
84,85,53
126,127,51
121,122,53
186,187,53
122,123,41
117,118,53
154,155,53
3,4,46
58,59,48
150,151,45
127,128,51
68,69,39
63,64,53
128,129,37
160,161,53
32,33,52
4,5,52
59,60,53
69,70,52
124,125,49
101,102,52
161,162,53
0,1,34
10,11,53
37,38,53
92,93,45
102,103,48
157,158,52
6,7,52
139,140,51
33,34,52
43,44,51
70,71,39
135,136,53
39,40,46
130,131,53
34,35,53
11,12,53
76,77,36
131,132,53
158,159,53
7,8,45
196,197,43
188,189,52
195,196,43
177,178,43
173,174,50
169,170,34
175,176,52
171,172,43
178,179,51
179,180,49
180,181,50
176,177,45
191,192,46
187,188,52
193,194,48
194,195,52
190,191,43
172,173,45
80,124,3
0,192,2
84,93,4
172,197,2
1,9,2
101,130,1
104,129,2
22,173,3
20,107,2
43,181,2
83,178,2
28,127,2
69,139,1
1,196,8
94,177,8
55,169,1
173,191,5
58,124,3
59,123,3
9,135,1
172,192,4
0,78,3
15,178,3
74,169,6
117,124,1
16,172,1
93,178,3
73,170,3
0,124,1
130,169,2
68,130,2
73,128,2
1,169,2
168,169,5
13,30,1
166,190,1
22,69,1
0,121,1
8,128,1
15,170,1
27,74,1
60,80,1
61,79,1
9,29,1
16,71,1
103,130,1
15,72,1
16,77,1
100,131,1
129,170,1
69,143,1
8,136,1
167,189,1
68,144,1
14,127,1
11,64,1
10,123,1
1,120,1
10,65,1
78,169,1
69,129,1
16,93,1
107,119,1
68,112,1
1,180,1
41,76,1
129,140,1
23,46,1
40,77,1
163,169,1
15,84,1
162,170,1
24,102,1
103,169,1
16,46,1
0,181,1
51,143,1
23,170,1
34,194,1
50,144,1
1,123,1
43,74,1
33,195,1
20,118,1
69,111,1
