u,v,weight
13,30,1
163,164,54
90,91,54
172,197,2
136,137,54
35,36,54
47,68,8
44,45,54
164,165,54
116,125,5
141,142,54
31,32,54
95,96,54
68,112,1
113,114,54
104,105,54
60,80,1
114,115,54
61,79,1
5,89,2
41,76,1
155,156,54
91,92,54
36,37,54
132,133,54
104,129,2
192,193,54
183,184,54
41,42,54
146,147,54
100,131,1
15,84,1
133,134,54
51,52,54
24,102,1
97,98,54
152,153,54
170,171,54
74,75,54
65,66,54
8,136,1
167,189,1
198,199,54
51,143,1
169,181,1
148,149,54
24,25,54
184,185,54
185,186,54
19,108,3
98,99,54
20,21,54
125,126,54
61,62,54
52,53,54
144,145,54
44,180,3
48,49,54
112,113,54
11,64,1
153,154,54
1,120,1
167,168,54
2,3,54
66,67,54
140,141,54
62,63,54
20,118,1
94,95,54
25,26,54
69,111,1
166,190,1
99,100,53
40,41,53
100,101,53
197,198,53
137,138,53
111,112,53
166,167,53
80,124,3
38,39,53
80,81,53
85,86,53
16,17,53
71,72,53
84,93,4
13,14,53
110,111,53
50,51,53
147,148,53
23,24,53
56,57,53
181,182,53
34,194,1
33,195,1
30,31,53
145,146,53
182,183,53
86,87,53
1,9,2
101,130,1
54,55,53
174,175,53
60,61,53
28,127,2
1,2,53
189,190,53
29,30,53
84,85,53
121,122,53
186,187,53
117,118,53
154,155,53
63,64,53
160,161,53
59,60,53
161,162,53
10,11,53
20,107,2
37,38,53
68,144,1
135,136,53
43,181,2
130,131,53
34,35,53
11,12,53
131,132,53
158,159,53
0,197,9
188,189,52
47,48,52
103,104,52
81,82,52
108,109,52
118,119,52
12,13,52
151,152,52
175,176,52
149,150,52
27,28,52
5,6,52
88,89,52
69,139,1
22,173,3
94,177,8
187,188,52
55,169,1
129,140,1
32,33,52
165,166,52
4,5,52
69,70,52
101,102,52
157,158,52
6,7,52
194,195,52
33,34,52
10,123,1
96,97,51
18,19,51
162,170,1
42,43,51
58,124,3
107,108,51
59,123,3
55,56,51
143,144,51
138,139,51
19,20,51
178,179,51
156,157,51
87,88,51
126,127,51
1,196,8
127,128,51
9,29,1
163,169,1
173,191,5
139,140,51
43,44,51
78,169,1
8,9,50
0,78,3
9,10,50
162,163,50
75,76,50
107,119,1
173,174,50
77,78,50
79,80,50
83,178,1
57,58,50
26,27,50
17,18,50
64,65,50
172,192,4
180,181,50
74,169,6
117,124,1
106,107,49
105,106,49
83,84,49
115,116,49
15,178,2
179,180,49
120,121,49
124,125,49
134,135,48
21,22,48
58,59,48
193,194,48
102,103,48
109,110,47
78,79,47
116,117,47
93,178,3
73,170,3
159,160,46
8,128,1
46,47,46
89,90,46
16,172,1
3,4,46
191,192,46
39,40,46
176,177,45
150,151,45
92,93,45
172,173,45
7,8,45
73,74,44
15,16,44
130,169,2
119,120,44
93,94,44
196,197,43
195,196,43
177,178,43
49,50,43
142,143,43
171,172,43
123,124,43
190,191,43
68,130,2
73,128,2
122,123,41
15,72,1
72,73,40
129,130,40
22,69,1
28,29,40
68,69,39
70,71,39
82,83,38
22,23,37
1,169,3
128,129,37
76,77,36
169,170,34
0,1,34
53,54,31
45,46,27
14,15,21
67,68,20
168,169,5
