pan,genome id,genome size,path_id,length
simulated,8,1000,0,937
simulated,8,1000,1,63
simulated,12,1000,0,1000
simulated,14,1000,0,373
simulated,14,1000,1,627
simulated,20,1000,0,1000
simulated,23,1000,0,1000
simulated,24,1000,0,403
simulated,24,1000,1,597
simulated,25,1000,0,313
simulated,25,1000,1,687
simulated,26,1000,0,313
simulated,26,1000,1,687
simulated,28,1000,0,1000
simulated,31,1000,0,1000
simulated,32,1000,0,1000
simulated,33,1000,0,483
simulated,33,1000,1,207
simulated,33,1000,2,310
simulated,34,1000,0,483
simulated,34,1000,1,310
simulated,34,1000,2,207
simulated,35,1000,0,1000
simulated,36,1000,0,1000
simulated,38,1000,0,145
simulated,38,1000,1,143
simulated,38,1000,2,712
simulated,40,1000,0,272
simulated,40,1000,1,728
simulated,41,1000,0,564
simulated,41,1000,1,436
simulated,42,1000,0,564
simulated,42,1000,1,436
simulated,43,1000,0,272
simulated,43,1000,1,728
simulated,44,1000,0,272
simulated,44,1000,1,728
simulated,45,1000,0,1000
simulated,46,1000,0,1000
simulated,47,1000,0,145
simulated,47,1000,1,712
simulated,47,1000,2,143
simulated,48,1000,0,145
simulated,48,1000,1,712
simulated,48,1000,2,143
