u,v,weight
809,810,25
919,920,25
70,71,25
768,769,25
406,407,25
617,618,25
130,131,25
750,751,25
498,499,25
860,861,25
11,12,25
709,710,25
952,953,25
801,802,25
650,651,25
163,164,25
783,784,25
893,894,25
44,45,25
742,743,25
255,256,25
591,592,25
724,725,25
834,835,25
683,684,25
196,197,25
894,895,25
155,156,25
926,927,25
775,776,25
288,289,25
986,987,25
624,625,25
137,138,25
247,248,25
835,836,25
96,97,25
757,758,25
867,868,25
18,19,25
716,717,25
229,230,25
927,928,25
188,189,25
808,809,25
657,658,25
170,171,25
280,281,25
868,869,25
129,130,25
900,901,25
749,750,25
262,263,25
960,961,25
598,599,25
111,112,25
221,222,25
841,842,25
690,691,24
203,204,25
901,902,25
162,163,25
782,783,25
295,296,25
993,994,25
144,145,22
254,255,25
842,843,25
103,104,25
874,875,25
236,237,25
934,935,25
85,86,25
195,196,25
815,816,25
539,540,25
177,178,25
875,876,25
136,137,25
347,348,25
269,270,25
967,968,25
118,119,25
228,229,25
816,817,25
439,440,25
77,78,25
210,211,25
908,909,25
531,532,25
169,170,25
380,381,25
513,514,25
151,152,25
849,850,25
472,473,25
110,111,25
321,322,25
243,244,25
941,942,25
564,565,25
202,203,25
790,791,25
413,414,25
51,52,25
656,657,25
882,883,25
505,506,25
143,144,25
354,355,25
974,975,25
487,488,25
235,236,25
597,598,24
446,447,25
538,539,25
387,388,25
520,521,25
630,631,25
479,480,25
328,329,25
461,462,25
571,572,25
420,421,25
631,632,25
512,513,25
25,26,25
723,724,25
361,362,25
572,573,25
494,495,25
604,605,25
453,454,25
664,665,25
302,303,25
435,436,23
545,546,25
756,757,25
394,395,25
17,18,25
605,606,25
848,849,25
486,487,25
697,698,25
335,336,25
546,547,25
940,941,25
578,579,25
789,790,25
427,428,25
638,639,25
881,882,25
519,520,25
730,731,25
579,580,25
973,974,25
611,612,25
822,823,25
671,672,25
914,915,25
552,553,25
763,764,25
612,613,25
823,824,25
84,85,25
855,856,25
704,705,25
217,218,25
915,916,25
553,554,25
176,177,25
947,948,25
796,797,25
645,646,25
856,857,22
117,118,25
888,889,25
737,738,25
250,251,25
948,949,25
586,587,25
209,210,25
797,798,25
980,981,25
829,830,25
58,59,25
678,679,25
191,192,25
