gene size,replicate,genomes gt,genomes inf,runtime_phases_1-3,runtime_phase_4,total_runtime
50,1,5,4,0.0167818919999263,0.004323143000874552,0.021105035000800854
50,2,47,25,0.6286474539992923,0.021199165001235087,0.6498466190005274
50,3,70,51,3.0045088670012774,0.06478947299910942,3.069298340000387
50,4,7,7,0.04162562500096101,0.0049926649990084115,0.04661828999996942
50,5,48,29,0.47518821300036507,0.02763670700005605,0.5028249200004211
100,1,38,8,0.11313789300038479,0.013561578998633195,0.126699471999018
100,2,23,9,0.11233477300083905,0.013334063000002061,0.1256688360008411
100,3,52,33,1.8912870490003115,0.11373741599891218,2.0050244649992237
100,4,21,4,0.03784685100072238,0.016033376999985194,0.053880228000707575
100,5,68,45,4.504689649000284,0.11173233699992124,4.616421986000205
150,1,11,10,0.17453744799968263,0.025793992001126753,0.20033144000080938
150,2,65,3,0.07010690700008126,0.11511298199911835,0.1852198889991996
150,3,9,4,0.10065783800018835,0.16514636400097515,0.2658042020011635
150,4,5,3,0.04578299399872776,0.041570524001144804,0.08735351799987257
150,5,6,2,0.032959957999992184,0.08685641800002486,0.11981637600001704
200,1,40,9,0.3383254139989731,0.24259159900066152,0.5809170129996346
200,2,7,3,0.058543099999951664,0.08195888900081627,0.14050198900076794
200,3,11,11,0.7576064049990237,0.10537275400020008,0.8629791589992237
200,4,68,6,0.24941458600005717,1.0575615859997924,1.3069761719998496
200,5,16,15,1.4122747640012676,0.05208776799918269,1.4643625320004503
250,1,53,6,0.19811786900027073,0.17273911499978567,0.3708569840000564
250,2,64,1,0.056158300998504274,5.639360813000167,5.695519113998671
250,3,14,1,0.03430709299937007,0.586134929999389,0.6204420229987591
250,4,8,2,0.07280754800012801,0.2696371130004991,0.3424446610006271
250,5,56,4,0.16748650499903306,3.7110442600005626,3.8785307649995957
300,1,42,6,0.6388611989987112,3.8659744420001516,4.504835640998863
300,2,70,12,0.7550076930001524,2.146628173000863,2.9016358660010155
300,3,63,3,0.19305326999892714,4.684971877000862,4.878025146999789
300,4,39,2,0.25212848000046506,4.157929056000285,4.41005753600075
300,5,38,3,0.21983426000042527,3.9681227920009405,4.187957052001366
350,1,54,1,0.14861432499856164,12.93301249400065,13.081626818999212
350,2,19,1,0.0704803520002315,2.545463638000001,2.6159439900002326
350,3,52,6,0.5187289730001794,5.090396993999093,5.609125966999272
350,4,19,1,0.0673285989996657,2.038983865000773,2.106312464000439
350,5,33,1,0.08121358999960648,2.601086740000028,2.6823003299996344
400,1,4,5,0.623290026000177,0.15106631300113804,0.7743563390013151
400,2,49,3,0.2954029979991901,8.938933813000403,9.234336810999594
400,3,31,12,2.187054533000264,2.32768488200054,4.514739415000804
400,4,51,8,1.1845388529982301,11.076680922000378,12.261219774998608
400,5,26,8,0.9057978519995231,1.4412268890009727,2.347024741000496
500,1,6,5,0.875886238000021,0.45925907200035,1.335145310000371
500,2,54,8,1.0929075989988633,5.440532544000234,6.533440142999098
500,3,70,18,5.693751726999835,2.154633121999723,7.848384848999558
500,4,32,4,0.49788215800072066,4.630117115999383,5.1279992740001035
500,5,63,8,1.2965814090002823,4.725389147999522,6.021970556999804
600,1,54,2,0.3085151399991446,12.990913110999827,13.299428250998972
600,2,38,3,0.8383378590006032,16.4471675829991,17.285505441999703
600,3,2,2,0.36988644000120985,0.008374928998819087,0.37826136900002894
600,4,53,1,0.3047700879997137,19.275466969998888,19.580237057998602
