gene size,replicate,genomes gt,genomes inf,core gt,core inf,core sd,runtime
25,1,2,2,25,25,0,0.0037007799983257428
25,2,40,40,25,8,17,0.08016792900161818
25,3,39,39,25,25,0,0.1863829040012206
25,4,56,51,25,2,23,0.1508404080013861
25,5,25,25,25,18,7,0.046401970997976605
50,1,14,14,50,27,23,0.08030086799408309
50,2,66,66,50,8,42,0.6145332070009317
50,3,43,43,50,8,42,0.47384045099897776
50,4,12,12,50,18,32,0.08682300499640405
50,5,66,58,50,2,48,0.8133373679957003
75,1,67,67,75,75,0,4.4699031459967955
75,2,55,55,75,7,68,1.9581549650029046
75,3,12,12,75,62,13,0.15827167200041004
75,4,21,21,75,20,55,0.3457404920045519
75,5,55,54,75,14,61,1.8432654029966216
100,1,18,18,100,76,24,0.6474789660060196
100,2,33,33,100,24,76,1.5053755280023324
100,3,22,22,100,72,28,0.8499440770028741
100,4,27,27,100,60,40,1.2051744220007095
100,5,32,32,100,22,78,1.2251840180033469
125,1,33,33,125,45,80,2.5033203749990207
125,2,21,21,125,82,43,1.2174423530013883
125,3,36,36,125,45,80,2.905582277002395
125,4,17,17,125,91,34,0.8850649970045197
125,5,19,19,125,123,2,1.1750958720003837
150,1,56,56,150,29,121,9.413168456994754
150,2,4,4,150,148,2,0.13646857700223336
150,3,7,7,150,137,13,0.3158277919937973
150,4,67,67,150,61,89,13.782931699002802
150,5,41,41,150,103,47,7.000709654996172
175,1,30,30,175,175,0,5.596598445001291
175,2,69,69,175,6,169,15.923880575006478
175,3,42,42,175,84,91,8.314239971994539
175,4,5,5,175,174,1,0.2642345929998555
175,5,23,23,175,154,21,3.0649129540033755
200,1,2,2,200,200,0,0.12543294300121488
200,2,69,69,200,75,125,26.470877460000338
200,3,10,10,200,189,11,0.9847839280046173
200,4,24,24,200,123,77,3.807853509002598
200,5,10,10,200,200,0,1.0589967819978483
225,1,18,18,225,221,4,3.9054253970025457
225,2,21,21,225,203,22,5.030863254003634
225,3,16,16,225,197,28,2.6879506050026976
225,4,17,17,225,221,4,3.1668683489988325
225,5,10,10,225,212,13,1.2743563690019073
250,1,40,41,250,23,227,16.684737729003245
250,2,25,25,250,241,9,7.785208263994718
250,3,35,35,250,222,28,14.116453242997522
250,4,18,18,250,246,4,4.503976878004323
250,5,64,64,250,78,172,36.392966503000935
275,1,31,31,275,204,71,12.603425354005594
275,2,22,22,275,223,52,6.786979468000936
275,3,50,50,275,211,64,31.365815180004574
275,4,48,48,275,201,74,28.342280921002384
275,5,27,27,275,268,7,10.83285768800124
300,1,14,14,300,298,2,4.151477901999897
300,2,6,6,300,299,1,1.0939426610057126
300,3,50,50,300,263,37,38.47444980700675
300,4,13,13,300,296,4,3.5925184629959404
300,5,55,55,300,288,12,48.94009821900545
325,1,28,28,325,290,35,15.629430363995198
325,2,66,66,325,238,87,75.63532336500066
325,3,13,13,325,314,11,4.5250215790001675
325,4,21,21,325,316,9,10.242740546003915
325,5,2,2,325,325,0,0.3142632009985391
350,1,44,44,350,342,8,45.7816634769988
350,2,64,64,350,291,59,87.0604871109972
350,3,64,64,350,350,0,93.68746266199742
350,4,33,33,350,328,22,25.320323102998373
350,5,10,10,350,341,9,3.2286093490038184
375,1,46,46,375,356,19,54.373380775999976
375,2,22,22,375,358,17,14.219086908000463
375,3,62,62,375,353,22,96.80147027900239
375,4,9,9,375,364,11,3.226732039998751
375,5,20,20,375,372,3,12.227908330998616
400,1,23,23,400,389,11,18.74677485400025
400,2,70,70,400,400,0,142.8655088689993
400,3,12,12,400,378,22,5.689519981002377
400,4,19,19,400,397,3,12.85841803400399
400,5,29,29,400,327,73,24.804117457999382
425,1,69,69,425,311,114,139.50523578999855
425,2,40,40,425,360,65,53.78052813300019
425,3,68,68,425,201,224,134.09181642500334
425,4,66,66,425,422,3,144.24055866900017
425,5,67,67,425,290,135,138.1272887619998
